% Model,EMSI_model_V1_C_rate_3_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 10 2026, 23:48"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot
0,1000.0000000000008,995.8174550229551,979.7396385508952,962.7152213563257,946.0983790589703,930.0322674434015,914.5230947641949,899.4006514975799,884.6689844703753,870.3777874117867,856.4360521102229,842.8337464095385,829.5604659891128,816.5923464295433,803.9278508583488,791.5415866304702,779.4649233007843,767.6380852878776,756.0175563661319,744.6992599164554,733.6480650949618,722.8045359008213,712.198964574158,701.8072549083802,691.6149143605072,681.639482737818,671.8247018943646,662.2322631313551,652.8056732156293,643.5283326369909,634.4098775312042,625.512038346277,616.7414511063596,608.1199788601635,599.678866844667,591.4011338534245,583.2835447383013,575.2808021394304,567.43676261757,559.722960178924,552.1670254397796,544.8278683594132
78.44954990249195,1000.0000000000008,995.9632847955953,979.7240795801611,962.7453920640947,946.1672721575802,930.1256712861558,914.5709479144798,899.4203385176689,884.6775992312073,870.3816194791565,856.4392925190609,842.8419302871871,829.5759874189497,816.6113387418472,803.9536192613424,791.5770943443987,779.5011853932288,767.6803497907888,756.0784908317826,744.7663777662372,733.7128394673194,722.8702035061137,712.2673098016143,701.8777985121382,691.6903137681682,681.7213810483694,671.9206048450314,662.3372738300454,652.9293554588953,643.6924130602571,634.6228782365969,625.771614955051,617.0591928031736,608.504118913151,600.1308549650473,591.9230062118837,583.8799824580309,575.9741021796265,568.2335245062293,560.6390954633656,553.2054110372554,545.9652265930174
156.8990998049839,1000.0000000000003,996.0857596761075,979.6986987750971,962.7619029500011,946.2200733696276,930.1963760219678,914.5996273175069,899.4235607138593,884.6714646140343,870.3719973182042,856.4299382013794,842.8375297026547,829.5782836306771,816.6174135812855,803.9660346290428,791.598335434697,779.5235312496018,767.7087259499846,756.1239728858475,744.8164085591438,733.7604236603191,722.918147478638,712.3172105769571,701.9292648295285,691.7461506417412,681.7826138658669,671.9936650286111,662.4183126357127,653.0264027852104,643.8231091997758,634.7939508031078,625.9803672325994,617.3162079546261,608.816976303903,600.5007912751388,592.3519839489293,584.3717235340549,576.5470014471621,568.893232418177,561.3988729905607,554.0678197224485,546.9110594860603
235.34864970747586,1000.0000000000003,996.1850285908536,979.66372786707,962.7649512358745,946.2569400263435,930.2445084813459,914.6092700422396,899.4104675152795,884.6507331823354,870.349051152689,856.4080985325323,842.8206430702202,829.5674656836408,816.6106707272327,803.9651801575961,791.605375368915,779.5320017546849,767.7232431047893,756.1540081402077,744.8493565788211,733.7908041974395,722.9483480631886,712.3486526368974,701.9616294409017,691.7823871781526,681.8231473981243,672.0438526689953,662.4753381917907,653.0967625094473,643.9203474523176,634.9230108862333,626.1382288135518,617.5124119426451,609.0584821453492,600.7885953539985,592.687991345894,584.7586827141473,576.9994151696484,569.4157787522497,562.0021658009467,554.7541111264901,547.6651813956777
313.7981996099678,1000.0000000000007,996.2612404661947,979.6193985874459,962.7547341435449,946.2780294589604,930.2701954947986,914.6000131576437,899.3812083510567,884.6155574995877,870.3129112063717,856.373882887877,842.7913688041623,829.5436446371851,816.5912099590596,803.9511390431437,791.5982796146025,779.5266377932577,767.7239305945212,756.1686022067405,744.865226108914,733.8039676021591,722.9607855045609,712.3616217181457,701.9748679266071,691.7989855743275,681.8429478529557,672.0711379900753,662.5083091417141,653.1403819464798,643.9840542146524,635.0099741414654,626.2451333325379,617.6477201491599,609.2285675504173,600.9941867806825,592.9309526841104,585.0407747460791,577.3312585746991,569.8010559072831,562.4488469349625,555.2641448805126,548.2274066790046
392.2477495124598,1000.0000000000008,996.3145442284913,979.5659426675895,962.731448894844,946.2834989987091,930.2735638928317,914.5719937326847,899.3359326503204,884.5660901292699,870.2637077030129,856.3274006427681,842.7498053187596,829.5069315506579,816.5591310561409,803.9239944818294,791.5771136393091,779.5074802501003,767.7108177585027,756.1677606973271,744.8640214330682,733.7999003979571,722.9554400475502,712.3561035574123,701.9689558669941,691.7959080271929,681.8419814381734,672.0754912157428,662.5171841289177,653.1572084111821,644.0141558835501,635.0547562242997,626.3010144241864,617.7220479560974,609.3271636320377,601.117485134247,593.0807922449097,585.2179143776233,577.5424468899249,570.0489562821135,562.738789433045,555.5977806156459,548.5975496931756
470.6972994149517,1000.0000000000005,996.3450888041087,979.5035918388672,962.6952927116018,946.2735059768221,930.2547405059538,914.5253488363281,899.2747898421998,884.5024836348595,870.2015708663712,856.2687611725613,842.6960510282901,829.4574374834049,816.5145337978497,803.8838296697982,791.5419429105843,779.4745700099933,767.6839339360541,756.1514892238464,744.8457468349294,733.7785891083106,722.9322919369506,712.3320838914085,701.943868842412,691.7731167336734,681.8202143615927,672.0568825698896,662.5019217968356,653.147189218426,644.010578855781,635.0572727902301,626.3058057231274,617.7353107453868,609.3542015031377,601.1584099937498,593.1374343096256,585.290016356551,577.63289534294,570.159372275578,562.8718663356327,555.7548779630231,548.7754247953263
549.1468493174436,1000.000000000001,996.3531587502534,979.4335483657159,962.6472844421131,946.2491347545445,930.2141035024993,914.4603892360797,899.1982121897955,884.4252808381603,870.1269828276955,856.1983816000754,842.6304616307885,829.3955685776892,816.4577215680877,803.8306733051564,791.4926292896841,779.4276205210049,767.6430116194058,756.1192567862269,744.8097254846142,733.7391912655976,722.8902332570196,712.2883817110745,701.8982645995136,691.7289138959077,681.7758057466341,672.0134196134912,662.4603576749296,653.1075751341241,643.9695041738523,635.0125583551437,626.2534902472653,617.6803092361332,609.3013205905565,601.107388573784,593.0899567007181,585.2448344988503,577.5884383138757,570.1160676186678,562.8292691637442,555.7140911105986,548.7374959589836
627.5963992199356,1000.0000000000003,996.3426040515743,979.3630304982795,962.5933891493164,946.2157148585096,930.1546118472,914.3802429808962,899.1107871977725,884.3396221695665,870.0446042011253,856.1209166662653,842.5576586687168,829.3261112957903,816.3924850215947,803.7677776878006,791.4321938741812,779.3692976400946,767.5906795318741,756.0726760959249,744.7576266529677,733.6828989627691,722.8300079701305,712.2261558173512,701.8329643666432,691.663099642814,681.7086825363905,671.9452549295346,662.3920358198457,653.0371737635186,643.8891133246495,634.9188917116056,626.1422228912367,617.5546776083473,609.1653537244662,600.9606306504262,592.9330364305471,585.0763552874495,577.4021034925473,569.9103975850595,562.6001656020628,555.4624771224605,548.4690132039752
706.0459491224277,1000.0000000000008,996.3252773753418,979.3056378361555,962.5448407437638,946.1802511998919,930.0834577437329,914.2943517060554,899.0237424392388,884.2568570291974,869.9655584628878,856.0468873529433,842.488368111402,829.2598306167399,816.3292404533338,803.705547287868,791.3713043250939,779.3102100958195,767.5369225973471,756.0210085566177,744.6995064459182,733.6202703946825,722.7629750545876,712.157298836828,701.7605679479282,691.5887991432849,681.6328017948039,671.8674857215036,662.3125573283799,652.953433061438,643.7920835728777,634.8056354475285,626.0079858005149,617.4011449804764,608.9957424925326,600.7745219128632,592.7290993540031,584.8547339451411,577.1542195958247,569.6327339406126,562.2871958277638,555.1142020648089,548.0926416563079
