% Model,EMSI_model_V1_C_rate_0.5_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:48"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode
0,0.002000000000001417,0.7188524038032473,0.7186456657523129,0.7187364850122736,0.71860230017443,0.7187560318244489,0.7187546872555328,0.7187567834337891,0.7187527525060287,0.7187659204800367,0.718793296899993,0.7187502494864769,0.7187068508862535,0.718702936089758,0.7186628653794467,0.7186083217026349,0.7185307307297752,0.7185368901279037,0.7184421532006999,0.7183832633295132,0.7182538442319979,0.718185733677136,0.7181043583213785,0.7180161056901371,0.7179682068889104,0.7178708401275913,0.7177854655707776,0.7176609039259636,0.7175408706703643,0.7174213996283861,0.7171893626924527,0.7171052599948435,0.7169962460676108,0.7169023763134225,0.7168269389033592,0.7167137381264767,0.7166173195887161,0.7165089636410805,0.716404894186094,0.7162921948522876,0.7162150128685132,0.7160816123623237
78.44954990249195,0.0020000000000014156,0.718824292132286,0.7186277135754853,0.7187193466786972,0.7186025903378539,0.7187386005545514,0.7187360795025737,0.7187355510759159,0.7187306119358903,0.7187431581451009,0.7187687897803592,0.7187290904063236,0.7186834025689426,0.7186789436942571,0.7186387311112501,0.7185837656899381,0.7185059315860364,0.7185124204596406,0.718415683586294,0.7183582498321306,0.7182284784730294,0.7181604782771316,0.7180782364853645,0.7179905535973249,0.7179418118725542,0.717844501701198,0.7177591492060859,0.7176341048231086,0.7175133434924503,0.717394976387412,0.7171703403465141,0.7170821584783023,0.7169730420257231,0.7168830978184833,0.716802664556533,0.7166879498547941,0.7165905873831658,0.7164812040745813,0.7163780465014171,0.7162645333981605,0.7161824114483456,0.7160622277226203
156.8990998049839,0.0020000000000014164,0.7187928764799209,0.7186065370664636,0.718698992919844,0.7185995327088205,0.7187180431188084,0.7187143172756626,0.7187112193941724,0.7187053658165814,0.7187173111518657,0.7187412749310569,0.7187049210544679,0.718656967228663,0.7186519763367476,0.7186116178829922,0.7185562453873245,0.7184781718930705,0.7184850622016483,0.7183862964088685,0.7183303517469899,0.7182002218594005,0.7181323399081305,0.7180492454038172,0.7179621604649055,0.7179126052351689,0.7178153532963316,0.7177300281689629,0.7176045313360848,0.7174830084552503,0.7173657683176035,0.7171485300471445,0.7170563018224532,0.7169471079675935,0.7168610347056505,0.7167756382206002,0.7166594286115807,0.7165611663200486,0.7164508153207567,0.7163485417641159,0.716234225408702,0.7161472206305511,0.7160401759833981
235.34864970747586,0.0020000000000014156,0.7187581568461521,0.7185821362252469,0.7186754237357146,0.7185931272873295,0.71869435951722,0.7186894005747996,0.7186837883885583,0.7186770141481017,0.7186883795003305,0.7187107523520857,0.7186777414309106,0.7186275448654149,0.7186220340172272,0.7185815256946732,0.7185257607947946,0.7184474516508773,0.7184548153539267,0.7183539916684237,0.7182995690740905,0.7181690743911114,0.7181013185701335,0.7180173850767372,0.7179309262928784,0.7178805869767537,0.7177833949129929,0.7176981024594079,0.717572183464892,0.7174498655587641,0.7173337754189593,0.7171239317943439,0.7170276900272962,0.7169184438932218,0.7168361869749239,0.7167458598955605,0.716628174396837,0.7165290563993648,0.7164177973796061,0.7163163799741901,0.7162012708839117,0.7161094404151298,0.7160154571446562
313.7981996099678,0.0020000000000014156,0.7187201332309795,0.7185545110518359,0.718648639126308,0.7185833740733809,0.7186675497497864,0.7186613293999844,0.7186532580590737,0.7186455569304515,0.7186563631904962,0.7186772220434462,0.7186475515356512,0.7185951354791985,0.7185891167356978,0.7185484545462927,0.7184923119123482,0.7184137708594565,0.7184216799164762,0.7183187693649593,0.7182659018134329,0.7181350360681614,0.7180674142631398,0.7179826555041238,0.7178968510812437,0.7178457570973097,0.7177486265511823,0.7176633720774211,0.7175370612095306,0.7174139148029918,0.7172989976914804,0.7170965455881122,0.7169963230928313,0.7168870498026073,0.7168085546263036,0.7167133295814143,0.716594187210563,0.7164942576211141,0.7163821502511301,0.7162815611316394,0.716165669823789,0.7160690708020812,0.7159880712063954
392.2477495124598,0.002000000000001416,0.7186788056344032,0.7185236615462298,0.7186186390916248,0.718570273066975,0.7186376138165075,0.7186301037512174,0.7186196284057186,0.718610994163631,0.7186212622223628,0.7186406840051385,0.7186143513686902,0.7185597390700134,0.7185532244921584,0.7185124044378508,0.7184558987399853,0.7183771295188085,0.7183856558892963,0.7182806294984756,0.7182293499650169,0.718098106890551,0.7180306269871506,0.7179450566859781,0.7178599348300021,0.7178081155968363,0.7177110482108987,0.7176258370230032,0.7174991645700001,0.7173751561879331,0.7172614351351666,0.7170663714284496,0.716962201019059,0.716852925695751,0.7167781376597899,0.7166780472781613,0.7165574670527587,0.7164567699852965,0.7163438739353287,0.7162440852364648,0.7161274222283347,0.7160261117914061,0.7159580181686152
470.6972994149517,0.002000000000001416,0.718634174056423,0.718489587708429,0.7185854236316651,0.7185538242681117,0.7186045517173835,0.7185957236284983,0.7185828994284931,0.7185733258476403,0.7185830765959296,0.718601138237162,0.718578140930027,0.7185213556378598,0.7185143572866095,0.7184733753693481,0.7184165212777059,0.7183375276289335,0.7183467432723875,0.7182395720689727,0.7181899135288424,0.7180582868582795,0.7179909567421646,0.7179045886222996,0.7178201775391528,0.717767662475334,0.7176706598921431,0.7175854972961532,0.7174584935463011,0.7173335897135882,0.7172210877500171,0.7170334093153562,0.7169253238059786,0.7168160715726521,0.7167449360753826,0.7166400129858016,0.7165180139234237,0.7164165934919122,0.7163029684322015,0.7162039522886654,0.7160865280975485,0.7159805633831037,0.715925298031316
549.1468493174436,0.0020000000000014156,0.7185929566443516,0.7184594331592745,0.7185564692393014,0.7185415845562617,0.7185759729689918,0.7185664079579405,0.7185510318274473,0.7185407689887986,0.7185503712838206,0.7185674157157156,0.7185481699585556,0.7184890253071499,0.7184817381969176,0.7184408606465089,0.7183837717149593,0.7183044994513728,0.7183150078693432,0.7182057100251885,0.7181581276350979,0.7180258332041473,0.7179588154481017,0.7178718373641065,0.7177883903064768,0.7177354882273089,0.7176386469187228,0.7175536795666532,0.7174262606671538,0.7173003940410665,0.7171892761916724,0.7170093466465062,0.7168973669339777,0.7167883494031886,0.7167208005053182,0.716611227611797,0.7164880063218214,0.7163861060219675,0.7162721139053572,0.7161738340669576,0.7160557529444312,0.7159453894104575,0.7159029042871614
627.5963992199356,0.0020000000000014156,0.7188257010068834,0.7187033219912473,0.7187973118742689,0.7187994395871287,0.7188191693776311,0.7188058724187477,0.7187895046557337,0.7187784869391827,0.7187868247435036,0.7188029662970009,0.7187838005841835,0.718725080944364,0.7187171814596517,0.7186752538833828,0.71861821084237,0.7185389774963635,0.7185465721588978,0.718437772557626,0.7183898140335907,0.7182594418204552,0.7181924812591821,0.7181051091090391,0.7180209949830696,0.7179674070738753,0.7178705862797645,0.7177856871681552,0.7176594270950588,0.7175343749298301,0.7174228663016976,0.7172499635689844,0.7171344791025495,0.7170263159595053,0.7169615643463625,0.7168489611380835,0.7167249689215177,0.7166215936463941,0.7165064314497249,0.7164087337489169,0.7162907177647485,0.7161767840556561,0.7161438699616757
706.0459491224277,0.0020000000000014156,0.719012650181701,0.7189033020362205,0.718991606349472,0.7190037336273598,0.7190163708906099,0.7189983935007811,0.7189817937425736,0.718969964403792,0.7189764610634531,0.7189930357363458,0.7189720771076755,0.7189145080294367,0.7189067128234925,0.7188626069098817,0.7188052676586624,0.7187258390839686,0.7187300842338818,0.7186219785638801,0.718573038949964,0.7184446473198564,0.7183772084479576,0.7182895877889355,0.718205020763644,0.7181505092872247,0.7180528507805326,0.7179676828120143,0.7178430318508817,0.7177177365639504,0.7176057775385702,0.7174388205690838,0.7173205753532229,0.717214658655744,0.7171496816682746,0.7170342895651739,0.7169095768710945,0.7168054774970083,0.716689119173692,0.7165911208747602,0.7164733177638974,0.7163594605701558,0.7163287982277752
784.4954990249196,0.002000000000001415,0.7190369912963135,0.7189428229732996,0.7190248272761937,0.719041539519244,0.7190524783700336,0.7190309640860747,0.7190138816624939,0.7190014823906086,0.7190065722314475,0.7190241928733627,0.7190019468700118,0.7189450303202143,0.718937209205337,0.7188916429775325,0.7188343009852046,0.7187544450931597,0.7187561580834405,0.7186483815477452,0.7185989326023807,0.7184716106372987,0.7184037614336496,0.7183161670524563,0.7182306401481365,0.718176269206379,0.7180779530871145,0.7179924440083839,0.7178684418780378,0.7177431141069992,0.7176301511067952,0.7174696041221053,0.717348380276295,0.7172458706831537,0.7171776026923302,0.7170618588645128,0.7169367010480661,0.7168318329345147,0.7167148905307122,0.7166157449166738,0.7164981483356612,0.7163882309010754,0.7163542561131758
862.9450489274116,0.0020000000000014156,0.7190114147823519,0.7189328378332215,0.7190089913084752,0.7190290667921824,0.7190394147879041,0.719014902105838,0.7189968715123606,0.7189839465577559,0.7189880860228598,0.7190069617235951,0.7189837322988666,0.7189271532425545,0.7189192142418016,0.7188725339767768,0.7188153288162723,0.7187348233763303,0.7187347424960373,0.7186270415126573,0.7185774527213139,0.7184505100344538,0.7183822624013764,0.7182948722373078,0.7182086770430111,0.7181547222212887,0.718055722077829,0.7179699520302217,0.7178462049033186,0.7177205839719847,0.717606820538639,0.717452764798203,0.7173286584788117,0.7172298592997873,0.7171571892770939,0.7170417269204588,0.7169161599744134,0.7168108104292166,0.716693400381632,0.7165930351817908,0.7164756059582417,0.7163706218685116,0.7163320768639994
941.3945988299034,0.0020000000000014156,0.7189538410477262,0.7188908057276706,0.7189618434366275,0.7189848212860256,0.7189949332925145,0.7189677583318902,0.7189482036240981,0.7189348187863235,0.7189384623865027,0.7189589909530695,0.7189349200163895,0.7188782835016839,0.7188705231463031,0.7188226709446409,0.7187654918319529,0.7186840117431016,0.7186830576889767,0.7185751014911409,0.7185258398024412,0.7183984567406972,0.7183298659500531,0.7182427452205254,0.7181563378134459,0.7181031940605215,0.7180034055184711,0.7179174991699023,0.7177938360738482,0.7176673211192439,0.7175529454032026,0.7174054887115299,0.7172784848202756,0.7171833728983984,0.7171061518813248,0.7169909640390183,0.716865010818542,0.7167592876853791,0.7166414899466641,0.7165399488452309,0.7164226304062682,0.7163230172889082,0.7162794623575898
1019.8441487323953,0.0020000000000014156,0.7188639289780452,0.7188162770953834,0.7188830037257402,0.7189085201001629,0.7189186597258174,0.7188891613479133,0.7188675023286603,0.7188537150973339,0.7188573319060603,0.7188798913579273,0.7188551261575704,0.718798041426509,0.7187907617326605,0.7187416698524781,0.7186844063128953,0.718601624946246,0.7186007104326537,0.7184921823273258,0.7184437021758184,0.7183150646329963,0.7182461929531699,0.7181594027843458,0.7180732242398845,0.7180212818672362,0.7179206056822538,0.7178346780870717,0.717710929753852,0.7175829262959248,0.7174681217338718,0.7173273699416534,0.7171974779514922,0.7171059830634012,0.7170241275210344,0.7169091652227662,0.7167828402116849,0.7166768464693389,0.716558732592743,0.7164560823764721,0.716338811325161,0.7162449652104684,0.7161960301305124
1098.2936986348873,0.0020000000000014156,0.7187582704118423,0.7187258192425222,0.7187888457349774,0.7188163944522034,0.7188268817243707,0.7187954437277754,0.7187714205907983,0.7187572585783292,0.7187611056670997,0.7187858999277212,0.7187606734971167,0.7187028657954493,0.7186961772875919,0.7186459455132963,0.7185885288909933,0.718504332379364,0.718504054234834,0.7183947761287773,0.7183474006137335,0.7182170446722819,0.7181479451551959,0.718061528578369,0.7179759017340827,0.7179253408144409,0.717823795226861,0.7177379328603992,0.7176139305504161,0.717484152245686,0.7173690668293269,0.7172350994491143,0.7171024759927802,0.7170145176808199,0.716927925634635,0.7168132246062187,0.7166865498722168,0.7165803887607057,0.7164621031994585,0.7163583973668244,0.7162411205211857,0.7161536556423788,0.7160988398521884
1176.7432485373793,0.0020000000000014147,0.7187450800579038,0.7187274868737107,0.7187861605190632,0.7188143070217533,0.7188258299414825,0.7187931292133404,0.7187685717945806,0.7187538677492876,0.7187568194777417,0.7187829169876293,0.718758021865141,0.7186999730339679,0.7186927372960858,0.7186425580461918,0.7185851924350231,0.7185008545781817,0.7184997493717052,0.7183904471424519,0.7183436427727946,0.7182133885032733,0.7181440540895658,0.7180579361183164,0.7179724126450183,0.717922042039306,0.7178204115439082,0.7177345144844589,0.7176100929045239,0.7174802631270961,0.7173648136701377,0.7172375384327871,0.7171032999433731,0.7170187310001195,0.7169271801532314,0.7168133285224442,0.7166863755963832,0.7165801520595466,0.7164623147325672,0.7163575201136905,0.7162402509153792,0.716161204661135,0.7160991575016514
1255.1927984398712,0.0020000000000014156,0.7188148753242425,0.718811524123915,0.7188654243414299,0.7188928314280656,0.7189059559112357,0.7188726037112851,0.7188489564017465,0.7188335590296788,0.7188346933554115,0.7188612922030418,0.7188373748347122,0.7187794064771346,0.7187706753422841,0.7187215204681201,0.7186643308786552,0.7185808652224849,0.7185777720295584,0.7184690192502504,0.7184223499962392,0.7182936117566521,0.7182240388100841,0.7181381305037875,0.7180523797998837,0.7180011884475487,0.7179001616641861,0.7178141501147547,0.7176890530822275,0.7175605531820046,0.7174447141351528,0.7173239568688023,0.7171890370805707,0.7171076357514383,0.7170109879165837,0.7168985065766049,0.7167713198645471,0.7166650616581837,0.716548168293027,0.7164422910885503,0.7163249926781555,0.7162561149344981,0.7161856845371481
1333.6423483423632,0.0020000000000014156,0.7188872749945721,0.7188965194417964,0.7189466353371565,0.7189724596940645,0.7189873613970592,0.7189537765971347,0.7189307961327124,0.718914771256874,0.7189142312193659,0.7189413020305336,0.7189183520339791,0.7188601667015149,0.7188499696305685,0.7188019190792906,0.7187446481573778,0.7186619341428748,0.7186572590087296,0.7185489813628582,0.7185025224663266,0.7183748243744157,0.7183050451025084,0.7182192436954089,0.7181331635908986,0.7180814359542672,0.7179813026314215,0.7178952007844791,0.7177685230255123,0.7176415823211622,0.7175250610232307,0.7174107893453293,0.7172753215284156,0.7171965504953302,0.7170951515918191,0.7169843586070992,0.716856889375018,0.7167502532586106,0.7166342842390933,0.7165275301483378,0.7164099873862899,0.71635224637537,0.7162727183209455
1412.0918982448552,0.0020000000000014156,0.7188257197385661,0.7188435096230934,0.7188922002106604,0.7189161901985336,0.7189346646109668,0.718901031321553,0.7188799203109727,0.7188634167999547,0.7188614747685926,0.7188896735517205,0.7188673625609353,0.7188100317782419,0.7187985841306312,0.7187513812490718,0.7186941368290372,0.7186125079458503,0.7186060709035131,0.7184990908021692,0.7184522900143242,0.7183261557205454,0.718256006138026,0.7181701666242101,0.718083119256881,0.7180311131803181,0.717931307832481,0.7178449499589235,0.7177191211549605,0.717593420404272,0.7174749477174703,0.7173649791938426,0.7172334465857936,0.7171543111944562,0.7170492487962247,0.7169387556015293,0.7168112755578665,0.7167050423328376,0.7165901053290411,0.7164825862906586,0.7163650771379861,0.7163194255124086,0.7162287018076867
1490.5414481473472,0.0020000000000014156,0.7187753356710398,0.7188004280439799,0.718848378701505,0.7188704571818102,0.7188924619717577,0.718858731673858,0.7188390560068091,0.7188220441710076,0.7188189228851917,0.7188483716330086,0.718826394477402,0.7187697649262366,0.7187572522685278,0.7187105250103332,0.7186531371155938,0.7185722710013673,0.7185642715818013,0.7184586110884987,0.7184114155740136,0.718286351853993,0.7182157809545517,0.7181298965034597,0.7180421157065252,0.7179898437595347,0.7178902506770006,0.7178036529469106,0.7176788118612751,0.7175538696429808,0.717433303886101,0.7173272357754501,0.7172003224031342,0.7171200590842974,0.7170115970793279,0.7169011486782806,0.7167736232873817,0.7166676756425523,0.7165535021999184,0.7164453983752453,0.7163278639913572,0.716294599210533,0.7161921088388381
1568.9909980498392,0.0020000000000014143,0.7187487157130736,0.7187800465382617,0.7188278667661219,0.7188479079028544,0.7188731996525354,0.718839341453191,0.7188204839118043,0.7188029474035336,0.7187988745935098,0.7188296298108178,0.7188076691407713,0.718751444624423,0.7187380547926845,0.718691453466794,0.7186336859192464,0.7185531936940616,0.718543905364771,0.7184395014946934,0.7183919101606514,0.7182672837836718,0.7181962595901888,0.7181103262949533,0.7180220320651741,0.7179695909746572,0.7178702064795687,0.7177834027132467,0.717659226024152,0.7175347025909883,0.7174118873326267,0.7173096270836684,0.7171875266317967,0.717105602873422,0.7169939812136401,0.7168835402082442,0.716755893435529,0.7166499355095084,0.7165362113155908,0.7164277349275573,0.7163100559582899,0.7162895602411452,0.7161748054245497
1647.4405479523311,0.0020000000000014156,0.7187458338306322,0.7187823399925435,0.7188306423265455,0.718848524626882,0.7188768581013004,0.7188428415210529,0.7188241797403557,0.7188061035992046,0.7188013123835584,0.7188334304644837,0.7188111684936969,0.7187550526247288,0.7187409761325536,0.7186941499244903,0.7186357667783136,0.7185552565441851,0.7185449559586341,0.7184417460137855,0.718393759403987,0.7182689338280516,0.7181974241998591,0.7181114391555726,0.7180228530540943,0.717970343079552,0.7178711620364959,0.7177841873440718,0.7176603518592699,0.7175359047324246,0.7174106847467822,0.717312140292985,0.7171950387094682,0.7171109282829693,0.7169963877145941,0.716885917248384,0.7167580728366576,0.7166518087463447,0.7165382196570045,0.7164295830904753,0.7163116400479226,0.7163042914739575,0.7161767782592978
1725.8900978548231,0.0020000000000014156,0.7187651017964567,0.7188057399313954,0.7188551670077676,0.7188708128900109,0.718901915753244,0.7188677428502852,0.7188486103573093,0.7188299882545031,0.7188247755721102,0.7188582694268072,0.7188354150808342,0.7187791154132396,0.7187645275159954,0.7187171659561757,0.7186579726676406,0.7185770401914748,0.7185660245170454,0.7184639407390004,0.718415566354107,0.7182898861625056,0.7182178583062605,0.7181318402103569,0.718043180157558,0.7179907197646649,0.7178917317006277,0.7178046265035163,0.7176807875386869,0.7175560851968374,0.7174283361786671,0.7173334173057982,0.7172214167981191,0.717134688923717,0.7170174092500243,0.7169069192891717,0.7167788027797828,0.7166719648943091,0.7165581938462662,0.7164496064524786,0.7163312806435821,0.7163373496806915,0.7161966758326435
1804.339647757315,0.002000000000001415,0.71879647783124,0.7188404719316953,0.7188914842663817,0.7189049595806843,0.718938551486242,0.7189044580891929,0.7188845388223869,0.7188653993086574,0.7188600533210807,0.7188946029324369,0.7188711880790909,0.7188146326994864,0.7187994164038598,0.7187516844651113,0.7186918418658932,0.7186103791957432,0.7185987096960356,0.7184977760066937,0.7184489154781627,0.7183221680496437,0.7182496270773635,0.7181636649706412,0.71807497418654,0.7180225058144939,0.7179237997344251,0.7178365726863567,0.7177124196990633,0.7175875908197559,0.7174573465328621,0.717365940300224,0.717259032922559,0.7171697063578232,0.7170495108633536,0.7169392408659043,0.71681085752347,0.7167034893718555,0.71658936185031,0.716480950213933,0.7163622084965,0.7163811990867999,0.7162276681092045
1882.7891976598069,0.0020000000000014156,0.7188370557921038,0.7188837546552519,0.7189366916546062,0.7189481250025493,0.718983940878159,0.7189502261265283,0.7189294059888492,0.7189098048621819,0.7189045575591988,0.7189397517649939,0.7189159200882053,0.7188591438407318,0.7188431060113324,0.718795322039083,0.7187350973634737,0.7186531375237453,0.7186407588979473,0.7185410577328238,0.7184915669110179,0.7183637719371694,0.7182907403609822,0.7182049289072359,0.7181161932557838,0.7180635795038081,0.7179652851249757,0.7178779400458408,0.7177532308761989,0.7176285859955955,0.7174959254027699,0.7174079091666329,0.7173060616236107,0.7172143092273845,0.717090979395726,0.7169811984058682,0.7168525919134221,0.7167448423223908,0.7166302714755003,0.716522127473442,0.7164029786556274,0.7164340942049733,0.7162682976710519
1961.238747562299,0.0020000000000014147,0.7188766108598373,0.7189252035946664,0.7189804464021872,0.7189901334583216,0.7190278072835099,0.7189947744289834,0.7189729839408858,0.7189530349202612,0.7189481259544886,0.7189836254512829,0.7189595000678194,0.7189025207322415,0.7188856777949577,0.7188380112130627,0.7187776065975676,0.7186951875007561,0.7186820985420398,0.7185836737596231,0.7185334194433373,0.7184045920849432,0.7183311374323283,0.7182455066396932,0.7181566335700836,0.7181038754054623,0.7180061198874346,0.717918657792411,0.7177932250870238,0.7176690296588001,0.7175339252943191,0.7174491625910863,0.7173522197071747,0.7172581626730477,0.7171318933841969,0.7170226829001269,0.7168939222727204,0.7167858389281979,0.7166707843768134,0.7165629582582961,0.7164434295691785,0.7164854067272176,0.7163083069730757
