% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 18:16"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity
0,1.2050101422977613,1.318415264477181,1.3164774611433032,1.3143027928312576,1.3117681248462798,1.3090521611312085,1.3061302311520633,1.302988366205088,1.2995637882515614,1.296032254922416,1.2915914488503877,1.287184063820291,1.282609215551726,1.2778390926773162,1.2727826297247613,1.2674720919603997,1.2618940104495837,1.2560436590163944,1.2499120305090996,1.2435918960476797,1.2370262617216246,1.2302051473805997,1.2230431633094376,1.2159234102917882,1.2085140499604086,1.2009326322951512,1.1929274140531738,1.184796465545751,1.1768704126902327,1.1688066003116953,1.1605987410465988,1.1523550688116984,1.1439138999730756,1.1353726746018382,1.1268389223686641,1.1181775519810404,1.1093669916731126,1.1005769685048827,1.0921966073039713,1.0837410837004604,1.0743654801002573,1.0660427093750602
78.44954990249195,1.205010142297761,1.3183725068340522,1.3164483777881901,1.3142636496913491,1.3117690366523282,1.3090737676257418,1.3061571388468232,1.3030091040875473,1.299581283137374,1.2959718245871534,1.2915700475767122,1.2872093279625494,1.2826483634163395,1.2778792175671452,1.2728226288009312,1.2675093229459387,1.261929037053219,1.2560758570031063,1.249947367033642,1.2436227566201772,1.2370510894863722,1.2302292594846325,1.2230930739870387,1.2159530413026118,1.208535124474856,1.2009476390680935,1.192972025362227,1.1848675864187606,1.1769174877682789,1.1688370264059298,1.1606195098544911,1.1523679760527745,1.1439218651683776,1.1353754902069495,1.1268274841938763,1.1181770479548248,1.1094590200520922,1.1006663461398005,1.0922410439010724,1.0837632030142421,1.0744812982927385,1.0661029300021607
156.8990998049839,1.2050101422977604,1.3183305970853358,1.3164198928294237,1.3142276820280072,1.311771884654376,1.3090955249227618,1.3061829982646977,1.3030288533638796,1.2995979597241092,1.2959146057205435,1.291554025580653,1.2872363166335488,1.2826879107000142,1.2779194003205763,1.2728623587673968,1.2675462730204947,1.2619637319092203,1.2561078518618967,1.249982242131873,1.2436533439977335,1.2370761049782566,1.2302535071906926,1.2231417683668717,1.2159828175113603,1.2085567954272887,1.2009635480887404,1.1930166254259256,1.1849382719738188,1.1769653449375597,1.1688694141009845,1.160642913617775,1.152384310899172,1.1439336119606875,1.1353826856417895,1.1268221628942214,1.1181815225949825,1.1095473887196645,1.1007564949071242,1.0922889832261082,1.0837901280522484,1.074598178324257,1.0661682141192623
235.34864970747586,1.205010142297761,1.3182895545875297,1.3163920112507441,1.314194918736279,1.3117766624891247,1.3091174198361097,1.3062077953057813,1.3030475995471917,1.2996138022732633,1.2958606256872696,1.2915433936852083,1.2872650208242142,1.282727843184675,1.2779596264358206,1.272901803290519,1.267582925144243,1.261998074532673,1.256139619437555,1.2500166314379058,1.243683635015021,1.2371012754448376,1.2302778615570897,1.2231892084657348,1.2160127026308798,1.2085790241379883,1.200980322865747,1.1930611640548816,1.18500847715154,1.1770139453120836,1.1689037232936001,1.1606689102577228,1.1524040268383269,1.1439490987200152,1.1353942139087787,1.1268229133412715,1.1181909313833025,1.1096320219176659,1.1008473397003395,1.0923403603787376,1.0838217990381445,1.074716034245061,1.0662384948740191
313.7981996099678,1.2050101422977613,1.3182493984175088,1.3163647379370342,1.3141653868787437,1.3117833632800782,1.3091394392185944,1.306231515820704,1.3030653281054596,1.2996287950246221,1.295809911303506,1.2915381612791748,1.2872954314071843,1.2827681466739438,1.2779998814378053,1.2729409460618635,1.2676192622991647,1.2620320444603699,1.25617113559822,1.2500505106057447,1.2437136065240872,1.2371265681536439,1.230302293658195,1.2232353563157097,1.2160426603957128,1.2086017719388347,1.200997926908307,1.1931055910973665,1.1850781569408801,1.1770632500275233,1.1689399138595407,1.1606974576406395,1.1524270772566758,1.1439682836927172,1.1354100278477717,1.1268296900895907,1.1182052296046818,1.1097128438496633,1.1009388054776403,1.0923951104025305,1.0838581560517746,1.0748347801899625,1.0663137052865646
392.2477495124598,1.205010142297761,1.3182101473663188,1.3163380776739366,1.3141391116674364,1.3117919796426165,1.3091615699626944,1.306254145605352,1.3030820244573982,1.299642922193178,1.2957624888257695,1.291538336311028,1.287327539138641,1.2828088069938328,1.2780401508782697,1.2729797707977215,1.2676552674885535,1.2620656212501618,1.256202376234954,1.2500838553084008,1.243743235393873,1.2371519503924535,1.2303267745846085,1.2232801739615127,1.2160726545622538,1.2086250001742915,1.2010163237275173,1.193149856439161,1.1851472663782616,1.177113220242285,1.1689779456562868,1.1607285135815069,1.1524534154447088,1.1439911250062835,1.135430080142054,1.1268424473845808,1.1182243723531264,1.109789778673239,1.1010308172632028,1.0924531682903087,1.0838991390357553,1.0749543303802065,1.0663937782566781
470.6972994149517,1.2050101422977608,1.3181718199329653,1.3163120351474578,1.3141161164459711,1.3118025036891108,1.3091837990011814,1.3062756703954523,1.3030976739682854,1.299656167966018,1.2957183839397242,1.291543925282939,1.287361334660102,1.282849809993412,1.2780804203358158,1.273018261238578,1.2676909237365062,1.2620987844803022,1.2562333172612197,1.2501166412369638,1.2437724985097143,1.2371773894695168,1.230351275443257,1.2233236234577631,1.216102648908869,1.208648670202333,1.2010354768377114,1.1931939100032578,1.1852157605465983,1.1771638171384948,1.1690177785256979,1.1607620358475972,1.152482994601941,1.1440175806740733,1.1354543233242993,1.126861139170271,1.1182483145376645,1.1098627504921088,1.101123300148319,1.0925144689893889,1.0839446878020134,1.0750745991251525,1.0664786465708807
549.1468493174436,1.205010142297761,1.318134386884189,1.3162865953323375,1.3140964505970076,1.3118151360170553,1.309206249319044,1.3062961500845678,1.3031123247087073,1.2996686154597772,1.2956774163969582,1.2915552259523246,1.287397061943152,1.2828913686300876,1.2781209197419494,1.2730566418412395,1.2677264555672414,1.2621317202327125,1.2562641145294637,1.2501490278885634,1.2438015479184494,1.2372029922525627,1.2303759250837845,1.22336578062406,1.2161327114641107,1.2086728005128524,1.2010554327188878,1.1932377759935704,1.18528383396381,1.177215218191855,1.1690595645544146,1.1607981273272983,1.152515905070264,1.1440478081457839,1.135482913572901,1.126885968899134,1.1182771926077237,1.1099314737695376,1.101216273934834,1.0925790571376697,1.083994858916835,1.0751956148125499,1.066568482765968
627.5963992199356,1.205010142297761,1.3180979735050704,1.3162618263957429,1.314080508853202,1.3118302766122498,1.3092289993481572,1.3063154385562106,1.3031257933534275,1.2996801069612682,1.295639702892509,1.2915732031063003,1.287435140482133,1.2829336899499768,1.2781619043964962,1.2730950586566778,1.267761941110674,1.2621644092395146,1.256294583070494,1.2501808026326955,1.2438301397505263,1.2372282295446673,1.2304003140495627,1.2234059470535754,1.216162305375907,1.2086966741277296,1.201075577005363,1.1932803374859515,1.185351031828519,1.1772671883318935,1.1691028963041172,1.1608362321967896,1.1525514497892793,1.1440814679066147,1.135515167804573,1.1269167204179418,1.1183105978650754,1.1099937206481791,1.1013082329437978,1.0926457801001195,1.0840488034612956,1.0753156169752123,1.0666627012944403
706.0459491224277,1.2050101422977604,1.3180641910283146,1.3162390133104482,1.3140702642090003,1.3118479225325514,1.309251979660371,1.3063335949975499,1.3031383853518692,1.2996909023991434,1.2956102478069471,1.2915996549704052,1.2874764951244202,1.2829774331763577,1.2782040148810518,1.2731341449593852,1.2677980411149705,1.262197572624342,1.2563254442396077,1.2502126593637441,1.2438591376262373,1.237253851146535,1.230425359329319,1.2234444468139716,1.2161921642282867,1.2087212651968235,1.2010971397523666,1.1933221405039838,1.1854174805090032,1.177320520861912,1.1691486440682497,1.160877322743128,1.1525904914966463,1.1441195963003565,1.1355519666595375,1.1269542540975235,1.1183499080891612,1.1100497629833292,1.101398215696553,1.092714702745973,1.0841072444665838,1.075433537062665,1.0667611610378118
