% Model,EMSI_model_V1_C_rate_3_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 10 2026, 23:48"
% Dimension,1
% Nodes,44
% Expressions,1
% Description,Global
% Cycle number,Value
1,521.3404103333809
1,521.9854010231919
2,534.1202041149513
3,533.6090410468023
4,532.704683060997
5,531.6633672761709
6,530.4783546862045
7,529.1824597646955
8,527.7619039702358
9,526.1617430169335
10,524.4797053932234
11,522.6692214555987
12,520.816684229665
13,518.8457358909545
14,516.6917484902933
15,514.5207860637638
16,512.2410562562127
17,509.9534723002398
18,507.44329235000623
19,504.91705127389287
20,502.3136577476944
20,503.09216357983314
21,499.64318471352817
21,500.343143934806
22,496.8705606656549
23,494.05570353845906
24,491.20361825638247
25,488.22997186026623
26,485.2075757755956
27,482.0923511409783
28,478.908627977602
29,475.62425296469155
30,472.25653945139493
31,468.7969079885661
32,465.3002217136309
33,461.7281927029253
34,457.94353816998773
35,454.2487917547187
36,450.3632661207448
37,446.4788237511166
38,442.5049742435076
39,438.50913532175036
40,434.4683513309792
41,430.25162619153707
