% Model,EMSI_model_V1_modval_dch_noflow_C_rate_0.5.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 13 2026, 07:59"
% Dimension,1
% Nodes,121
% Expressions,1
% Description,Global
% timeint(0;t;liion.cdc1.Icell; 'nointerp')*4 (Ah),Cell potential
0,4.249608407995912
-0.014132685831181463,4.084314459210513
-0.04239692692390152,4.0582698004579605
-0.07066116801662158,4.040765466328156
-0.09892540910934162,4.027815827169628
-0.12718965020206166,4.01788554700161
-0.15545389129478174,4.01015018236581
-0.18371813238750181,4.004048578052798
-0.21198237348022186,3.9990471990838667
-0.2402466145729419,3.9949019184590293
-0.26851085566566196,3.991367269608606
-0.296775096758382,3.9883165128478346
-0.3250393378511021,3.9855768701534715
-0.35330357894382214,3.9829238207038387
-0.3815678200365421,3.980215640563168
-0.4098320611292622,3.9772350306399473
-0.4380963022219823,3.9737416722567893
-0.4663605433147023,3.969560665531458
-0.4946247844074223,3.9645303982275037
-0.5228890255001424,3.958504123700766
-0.5511532665928625,3.9516507377377583
-0.5794175076855824,3.9440815637407893
-0.6076817487783026,3.9359481269874053
-0.6359459898710227,3.927373050809484
-0.6642102309637427,3.918477496742548
-0.6924744720564628,3.90933308535412
-0.7207387131491829,3.900015902115201
-0.7490029542419029,3.8905427765320058
-0.777267195334623,3.880929394730162
-0.8055314364273432,3.87137466459388
-0.8337956775200632,3.8619369416187013
-0.8620599186127833,3.852737125572095
-0.8903241597055035,3.843758022535173
-0.9185884007982236,3.8351227578260025
-0.9468526418909436,3.8267710971362137
-0.9751168829836637,3.818679476268134
-1.0033811240763837,3.810743474730704
-1.031645365169104,3.802955032282191
-1.059909606261824,3.795392794202696
-1.0881738473545441,3.787838169836415
-1.1164380884472642,3.780287417887251
-1.1447023295399843,3.7726469003183842
-1.1729665706327044,3.764954663854915
-1.2012308117254245,3.757191305446365
-1.2294950528181445,3.7492602563826454
-1.2577592939108646,3.741161093347543
-1.2860235350035847,3.732939745410659
-1.314287776096305,3.724569013768284
-1.342552017189025,3.716024843265119
-1.3708162582817451,3.707328572853847
-1.3990804993744652,3.6984178315430114
-1.4273447404671853,3.6893636672713033
-1.4556089815599054,3.6800278037417677
-1.4838732226526257,3.670525962427098
-1.5121374637453457,3.660878613936245
-1.5404017048380658,3.651420282766868
-1.568665945930786,3.642287571029062
-1.596930187023506,3.633478236320995
-1.625194428116226,3.624872103468152
-1.6534586692089464,3.61648156196029
-1.6817229103016664,3.6082601124564713
-1.7099871513943865,3.600233166945617
-1.7382513924871066,3.592456102374766
-1.7665156335798267,3.5848903008649424
-1.7947798746725467,3.5776046807359343
-1.823044115765267,3.5705464332697723
-1.8513083568579871,3.563741911874158
-1.8795725979507072,3.557132725995153
-1.9078368390434273,3.5507718762775307
-1.9361010801361473,3.544584404803053
-1.9643653212288674,3.5385577022406807
-1.9926295623215875,3.5326858991841146
-2.0208938034143076,3.526868082465882
-2.0491580445070277,3.521131732689558
-2.0774222855997477,3.51536307622309
-2.1056865266924683,3.509630503603211
-2.1339507677851883,3.503890344272312
-2.1622150088779084,3.498044781161736
-2.1904792499706285,3.492068088973378
-2.2187434910633486,3.485963246457297
-2.2470077321560686,3.4796618001523862
-2.2752719732487887,3.4731197862827616
-2.303536214341509,3.46629337734102
-2.331800455434229,3.4591095838998362
-2.360064696526949,3.4515737544127063
-2.388328937619669,3.443581546798897
-2.416593178712389,3.4351329738227436
-2.4448574198051096,3.426309961982775
-2.4731216608978297,3.4171728544311675
-2.5013859019905498,3.407547480312449
-2.52965014308327,3.3976354138193607
-2.55791438417599,3.3878689927122823
-2.58617862526871,3.378828593484507
-2.61444286636143,3.370144821216121
-2.64270710745415,3.3617964985895226
-2.6709713485468702,3.3539334850245135
-2.6992355896395903,3.3462035819618636
-2.7274998307323104,3.337752209829252
-2.7557640718250305,3.328850449113569
-2.7840283129177505,3.31934197593284
-2.812292554010471,3.308973974837444
-2.840556795103191,3.297394635786389
-2.8688210361959112,3.284204135680876
-2.8970852772886313,3.2683621731947206
-2.9253495183813514,3.2527487578223098
-2.9536137594740715,3.2352259507404812
-2.9818780005667915,3.2161186376821083
-3.0101422416595116,3.1950981401598715
-3.0384064827522317,3.1720191867696026
-3.0666707238449518,3.147214767354136
-3.094934964937672,3.1219941054875
-3.123199206030392,3.0966790137973135
-3.1514634471231124,3.069088812371586
-3.1797276882158325,3.0374036798109767
-3.2079919293085526,2.9982780068406996
-3.2362561704012727,2.945860341634016
-3.2645204114939927,2.886409348510077
-3.292784652586713,2.8222501816652152
-3.321048893679433,2.6976515017049776
-3.348467821151108,2.499803182891617
-3.3484678211511087,2.4998079534443844
