% Model,EMSI_model_V1_C_rate_0.5_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:02"
% Dimension,0
% Nodes,210
% Expressions,20
% Description,"Cell potential, Porosity anode, Porosity separator, Porosity cathode, Total strain anode, Total strain separator, Total strain cathode, Inelastic strain anode, Inelastic strain separator, Inelastic strain cathode, Elastic strain anode, Elastic strain separator, Elastic strain cathode, Average SOC anode, Average SOC cathode, SOL_graphite, SOL_silicon, Reservoir volume, Stack volume, Stack pressure"
% t,liion.cdc1.phis0 (V),aveop_an(dl.epsilon) (1),aveop_sep(dl.epsilon) (1),aveop_ca(dl.epsilon) (1),aveop_an(solid.evol) (1),aveop_sep(solid.evol) (1),aveop_ca(solid.evol) (1),aveop_an(solid.dvolic) (1),aveop_sep(solid.dvolic) (1),aveop_ca(solid.dvolic) (1),aveop_an(solid.eelvol) (1),aveop_sep(solid.eelvol) (1),aveop_ca(solid.eelvol) (1),liion.soc_average_pce1 (1),liion.soc_average_pce2 (1),sol_gr(liion.soc_average_pce1),sol_si(liion.soc_average_pce1),V_l_res (m^3),intop2(dl.epsilon*(1+solid.evol))*d_cell (m^3),boundary_load_dynamic (Pa)
600,3.5064105032676847,0.2274644223305137,0.39643041305039806,0.218202576114287,0.01043767464994817,-0.005914126482806134,-0.0024788540472251066,0.013394502611893257,0,-1.1242956882512397E-4,-0.002957082532603013,-0.005914126482806134,-0.0023656713763040623,0.07277215327873357,0.8833792856465956,0.041150337463574334,0.19539191794663718,4.314596017055736E-8,7.188551056899008E-7,1185092.894041903
660,3.516580199452329,0.22650430115481038,0.39602777008640594,0.2180208349437201,0.011639561873383103,-0.006576841838138851,-0.0027987837818147657,0.014927699546339341,0,-1.6753883298075917E-4,-0.003288359960298121,-0.006576841838138851,-0.0026307359616962673,0.07985548502140905,0.8775121200857224,0.042834047840089824,0.22343339405191637,4.468558017930388E-8,7.17311754818737E-7,1317623.1273513034
720,3.523946592572923,0.22553971291649594,0.3956262065696598,0.21785121009890937,0.012855379638345859,-0.007236901023595971,-0.0031418559004331775,0.016475342928652322,0,-2.468846997806866E-4,-0.0036183620308585765,-0.007236901023595971,-0.0028947603851725585,0.08693887996357466,0.8716446389744187,0.04422140364371066,0.2526017975294063,4.6221509978398275E-8,7.157720024293903E-7,1449649.7102268864
780,3.5297685803786445,0.22458233198991828,0.39522765196884746,0.2176898714165504,0.014075100465290464,-0.007891147643579599,-0.0034972389039647656,0.018021611595935544,0,-3.406346734271182E-4,-0.003945535441944311,-0.007891147643579599,-0.0031564585848674093,0.09402221365955221,0.8657774909721354,0.04550712763321406,0.28217411103172324,4.774058188999656E-8,7.142494656388124E-7,1580489.531955696
840,3.5356250549480475,0.2236331688458119,0.3948321074516803,0.21753353002210105,0.015290573470368935,-0.008539601038390916,-0.0038577899289401686,0.019560460673522604,0,-4.416940348154699E-4,-0.004269806353155851,-0.008539601038390916,-0.0034158403426656674,0.10110554861700512,0.859910334345902,0.04651764166886783,0.31279909980009396,4.9245679927902865E-8,7.127409077213438E-7,1710128.2258131376
900,3.5422951838346086,0.22269083809527596,0.39443952651614395,0.21738042481701217,0.016496527815704348,-0.009182358321312848,-0.004219192648351283,0.021089573976467275,0,-5.459545184666685E-4,-0.004591186945856127,-0.009182358321312848,-0.0036729489565829184,0.10818887750536547,0.8540431806200339,0.047423492917648566,0.343841943244201,5.0741337765882746E-8,7.112415458921744E-7,1838662.9766495468
960,3.5497608636391185,0.2217616261522212,0.39405128595253747,0.21723207155310018,0.017694141163069117,-0.009817190190927376,-0.004581977120922824,0.022604338604486143,0,-6.54952660892453E-4,-0.004908633020723705,-0.009817190190927376,-0.003926875925102185,0.11527221299549552,0.8481760213951286,0.04829898905529759,0.3750429220855302,5.221499807253795E-8,7.097643012147035E-7,1965569.2619443377
1020,3.557945602177437,0.22084727638544716,0.3936706192348789,0.21709306993259753,0.0188768519907043,-0.01043884834243171,-0.004950283582945896,0.02409909707616956,0,-7.749403937779096E-4,-0.005219423961352505,-0.01043884834243171,-0.0041755392626392045,0.12235554681621687,0.8423088664706262,0.049215750579507445,0.4061200458513692,5.365975830298491E-8,7.083157044957369E-7,2089881.0835446839
1080,3.5666465601497483,0.2199530234912324,0.3932969271311721,0.21695882004366338,0.02004323920478324,-0.011048357634714377,-0.0053164436549426285,0.025568554206059857,0,-8.974473490484988E-4,-0.005524160515707272,-0.011048357634714377,-0.004419343049414423,0.12943888287842473,0.836441710135127,0.05133495607290712,0.43231825631621945,5.5072143738767136E-8,7.068997422481358E-7,2211752.512082537
1140,3.5757481264612734,0.21905989625025504,0.3929223094540418,0.21682151526108398,0.02120482156824009,-0.011658623440384286,-0.0056775384866995845,0.02703550312658608,0,-0.001014429658448862,-0.005829313755544036,-0.011658623440384286,-0.0046634496061489904,0.13652222445753387,0.8305745553555833,0.052937791207717744,0.460706229611452,5.648907268810111E-8,7.054786346343992E-7,2333808.6692020963
