% Model,EMSI_model_V1_modval_dch_noflow_C_rate_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 13 2026, 08:01"
% Dimension,1
% Nodes,120
% Expressions,1
% Description,Global
% timeint(0;t;liion.cdc1.Icell; 'nointerp')*4 (Ah),Cell potential
0,4.24960840800595
-0.014132403188770749,3.9822871998194636
-0.04239664428149082,3.9514473221466924
-0.07066088537421086,3.934644538438981
-0.09892512646693091,3.923651233233726
-0.12718936755965096,3.915604990404245
-0.155453608652371,3.9094324683614228
-0.18371784974509106,3.904617792619365
-0.2119820908378111,3.9006704223195756
-0.24024633193053116,3.897407270139881
-0.2685105730232512,3.894620717003009
-0.2967748141159713,3.892079466640193
-0.3250390552086913,3.8897247505747132
-0.3533032963014114,3.887297576857178
-0.38156753739413146,3.884574013002767
-0.4098317784868515,3.881453073661245
-0.43809601957957156,3.8778530859882534
-0.4663602606722916,3.8736514777474333
-0.4946245017650116,3.8686980397663624
-0.5228887428577317,3.862891519558346
-0.5511529839504518,3.8562579196649778
-0.5794172250431717,3.8488774202974843
-0.6076814661358919,3.84091532422402
-0.6359457072286119,3.832401767324993
-0.664209948321332,3.8233694949425563
-0.692474189414052,3.8138801752850164
-0.7207384305067722,3.804105161724636
-0.7490026715994922,3.7942258683862002
-0.7772669126922123,3.784246300043057
-0.8055311537849325,3.774378712110982
-0.8337953948776525,3.764827467616531
-0.8620596359703726,3.7556266095657667
-0.8903238770630926,3.7467549812899374
-0.9185881181558128,3.738118731520141
-0.9468523592485328,3.729783992965227
-0.9751166003412529,3.7217432635576615
-1.003380841433973,3.7139496859359693
-1.0316450825266932,3.706422698621669
-1.0599093236194133,3.6989481570295175
-1.0881735647121333,3.6915141117771553
-1.1164378058048534,3.6840588835501404
-1.1447020468975737,3.676576388861621
-1.1729662879902938,3.6690815374484136
-1.2012305290830139,3.661481912836916
-1.229494770175734,3.6537430738070977
-1.257759011268454,3.645849205219993
-1.286023252361174,3.637787155564597
-1.3142874934538944,3.6296188838239556
-1.3425517345466145,3.621260950579464
-1.3708159756393345,3.6127889471070853
-1.3990802167320546,3.604102582318195
-1.4273444578247747,3.5952404489970404
-1.4556086989174948,3.586201649926793
-1.483872940010215,3.577029890331975
-1.5121371811029352,3.5677392323400503
-1.5404014221956552,3.5583653245786135
-1.5686656632883753,3.5488856164746045
-1.5969299043810954,3.5393395832718455
-1.6251941454738155,3.5297566163065675
-1.6534583865665358,3.5201766585537135
-1.6817226276592558,3.5106671833506446
-1.709986868751976,3.5014329449107335
-1.738251109844696,3.4926110717920626
-1.766515350937416,3.4841547053457522
-1.7947795920301362,3.4760573360419533
-1.8230438331228562,3.4682419247615695
-1.8513080742155765,3.4606923399115113
-1.8795723153082966,3.4533660579800936
-1.9078365564010167,3.446268331361421
-1.9361007974937368,3.4393876397891296
-1.9643650385864568,3.4326455727560448
-1.992629279679177,3.4260325150279787
-2.020893520771897,3.4195216945433557
-2.0491577618646173,3.413045897456889
-2.0774220029573374,3.406609319329408
-2.1056862440500574,3.4001498502320056
-2.1339504851427775,3.3937215638957303
-2.1622147262354976,3.3873185896593005
-2.1904789673282177,3.3808830777022583
-2.2187432084209378,3.3744583458412243
-2.247007449513658,3.3680294304527583
-2.2752716906063783,3.361513949200521
-2.303535931699098,3.354949655271186
-2.331800172791818,3.3483063638832062
-2.360064413884538,3.341555133576445
-2.388328654977258,3.3346682034419923
-2.4165928960699783,3.3275169819638735
-2.4448571371626984,3.3201025945260327
-2.473121378255419,3.312455537685544
-2.501385619348139,3.3042918735633555
-2.529649860440859,3.295886633511211
-2.557914101533579,3.2871650608380163
-2.586178342626299,3.278066566079513
-2.6144425837190193,3.2683721369131007
-2.6427068248117394,3.258221862563163
-2.6709710659044594,3.2479430868967847
-2.6992353069971795,3.2373033157568423
-2.7274995480898996,3.2263040512818577
-2.7557637891826197,3.2154729597561724
-2.7840280302753397,3.2047519556531308
-2.81229227136806,3.193432285172699
-2.8405565124607803,3.1812730473493014
-2.8688207535535004,3.167933327269165
-2.8970849946462205,3.1528304431625505
-2.9253492357389406,3.1351159765944656
-2.9536134768316606,3.116920856259099
-2.9818777179243807,3.096718944627562
-3.010141959017101,3.074792927261915
-3.038406200109821,3.051240896798524
-3.066670441202541,3.0261509320033926
-3.094934682295261,2.999795466553083
-3.123198923387981,2.9719583067929505
-3.151463164480701,2.9405394845155226
-3.1797274055734217,2.902774778900767
-3.207991646666142,2.853963825984373
-3.236255887758862,2.794136574270314
-3.264520128851582,2.7324379600333346
-3.292784369944302,2.627368453057457
-3.313641916443605,2.4996709044974073
-3.313641916443606,2.4996744657090035
