% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:47"
% Dimension,1
% Nodes,397
% Expressions,41
% Description,Line graph
% Arc length (µm),genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode
0,0.4158085632501683,0.41573617805361185,0.4157450841317618,0.4157885127843132,0.41580958567539505,0.41592931197700334,0.41606999691927693,0.41623644015422584,0.4164262829405492,0.41665544771270024,0.4168675200727978,0.417115540680629,0.4174201698864603,0.41771776704313357,0.4180668719856214,0.418419125779513,0.41883302392199523,0.4192606592601375,0.41970973646804866,0.42019024365667257,0.420697286153109,0.421224517154582,0.42178250134851214,0.422365405495898,0.42296454723094706,0.4235423938645941,0.4242055934813818,0.4248706063834321,0.42555492924586424,0.42627073103793117,0.42700700470896524,0.4277777120970032,0.4285745195331096,0.42938994711674955,0.4302365331593238,0.43113071602543873,0.43204561769212124,0.4329532482987849,0.43389354152011955,0.43477998902996307,0.43579467019773255
78.44954990249195,0.4158320553592097,0.4157660134048926,0.4157781596434233,0.4158240362262084,0.41584693329781974,0.41597041443134725,0.41610976081344203,0.4162751019787148,0.41646401340309075,0.4166892495264187,0.41690619468308543,0.41715555944199245,0.41745972149474886,0.41775644542580787,0.4181052505020865,0.41845724786217864,0.4188703227769227,0.41929704713194177,0.4197458522911763,0.4202261729423944,0.42073264844480024,0.42126186740743354,0.4218182252230308,0.422400635455884,0.4229991181886793,0.42357964020202593,0.4242416975675646,0.4249065223604011,0.42558975806968863,0.4263049540716774,0.4270410649409029,0.42781141155180014,0.4286081487249829,0.42942335763180545,0.4302700763285951,0.43117519910192237,0.4320829419778838,0.43298820150268286,0.4339276786726375,0.4348198501499077,0.43582995729171936
156.8990998049839,0.41584611517849485,0.4157865616558246,0.41580200724128646,0.4158503929799563,0.41587519480978286,0.4160023696027192,0.41614044016847873,0.4163047205939625,0.41649274264981095,0.41671417416769985,0.4169359807329911,0.4171866946793471,0.4174904286047241,0.41778631680407796,0.4181348437476116,0.4184866173610693,0.4188988786698091,0.41932472596324755,0.4197732772456473,0.42025341409978056,0.42075935971682327,0.42129055595633486,0.42184531616195226,0.42242723453642295,0.4230250673226423,0.42360826088954334,0.4242692934016915,0.4249338284217017,0.42561600853847814,0.42633059882970586,0.4270665522307411,0.4278365490548839,0.42863320614394945,0.42944819779944254,0.4302950364549218,0.43121094337268967,0.4321116877292367,0.433014572275241,0.43395323720092255,0.4348510942894311,0.43585666306504794
235.34864970747586,0.41585074270802413,0.415797822806408,0.41581662692535126,0.41586758304555704,0.41589437021128434,0.41602517749111917,0.4161620349843871,0.4163252959999688,0.4165124706807099,0.41673022163654366,0.4169568782225152,0.41720894639269285,0.4175122912163864,0.41780738117794386,0.4181556517221968,0.4185072342761849,0.4189186916006544,0.4193436957540549,0.41979201133146193,0.420271967128831,0.420777419969178,0.4213105828012855,0.4218637741652768,0.42244520273751457,0.423042394632836,0.4236282559271461,0.4242883809837628,0.424952524567334,0.4256336806522327,0.42634766531201634,0.42708346657847973,0.42785312460625413,0.4286496917900088,0.42946446761966045,0.43031141353830354,0.43123794883774064,0.4321318549461797,0.43303236061645894,0.4339702171049746,0.4348737214485329,0.4358747875177178
313.7981996099678,0.41584593794779756,0.41579979685664303,0.4158220186956177,0.4158756064230107,0.4159044595023239,0.4160388380965469,0.4161745452611668,0.41633682819673384,0.41652319749578737,0.41673739193294995,0.41696888715165753,0.41722231458202985,0.41752530932973525,0.4178196385474058,0.4181676744258421,0.4185190986075254,0.41892976156945866,0.4193539565043638,0.41980205454862024,0.4202818320295455,0.42078682920186444,0.4213219479422857,0.4218735992330041,0.422454540059159,0.4230511001192608,0.42363962531483434,0.4242989603137781,0.424962610797298,0.42564277441095205,0.4263561535186086,0.42709180798411894,0.42786113820591065,0.4286576056631616,0.4294721670924598,0.4303192075787406,0.4312562154970756,0.4321434436287133,0.4330415665263371,0.433978618384794,0.43488773162721334,0.43588433064972915
392.2477495124598,0.41583170089781507,0.4157924838065296,0.41581818255208586,0.4158744631123169,0.41590546268290196,0.4160433514190029,0.4161779709988181,0.41633931718425754,0.41652492309504363,0.41673568505691894,0.41697200752041813,0.41722679924735834,0.41752948294477094,0.4178230889124636,0.41817091185854743,0.418522210355091,0.41893208857622205,0.4193555082141743,0.4198034068971222,0.4202830088019244,0.42078758741488265,0.4213246513793356,0.4218747913651345,0.42245524650135624,0.4230511837819163,0.42364236905260827,0.4243010313917378,0.4249640871115939,0.42564328981463634,0.4263560634494834,0.4270915764476586,0.42786058985385417,0.4286569477634073,0.42947129621784,0.4303184185762329,0.431265743350694,0.4321464537768372,0.4330421900048749,0.43397844104038047,0.43489312482547265,0.43588529246108204
470.6972994149517,0.41580803155807644,0.4157758836560676,0.4158051184947555,0.41586415311347613,0.41589737975301844,0.4160387174584868,0.41617231219734074,0.41633276296253996,0.41651764747847864,0.41672510100845056,0.416966239328797,0.4172224003886779,0.41752481206149356,0.4178177322731173,0.41816536402031307,0.41851656951888155,0.41892567262094416,0.4193483508834865,0.41979606837696765,0.42027549744596726,0.42077969460823245,0.421318693112435,0.4218673505616677,0.42244732206410635,0.4230426456208027,0.42363648714046764,0.4242945942176418,0.4249569535102215,0.4256352268632855,0.42634739510463976,0.4270827719690989,0.4278514795500838,0.4286477180907461,0.42946185499580114,0.43030904653078034,0.43126653239859636,0.4321408853905514,0.43303423105207284,0.4339696850717341,0.43488990104331054,0.4358776729517763
549.1468493174436,0.41577727123089203,0.4157530394654375,0.4157858411325818,0.41584788920656507,0.4158836150313369,0.416027681632853,0.41616032853634854,0.41632004659797817,0.4165042104021099,0.41670919120464267,0.4169548274188277,0.417212232516725,0.41751440928012706,0.41780674334005374,0.4181541899077169,0.4185052754775368,0.41891366051965123,0.41933572517071716,0.4197833005440055,0.4202625610008288,0.4207664866464809,0.4213072824865836,0.42185454172296893,0.42243403657286654,0.4230288387272643,0.4236250576600842,0.4242835711673224,0.4249444267699769,0.42562189803032296,0.4263333692742567,0.4270686196669534,0.42783702743751545,0.42863307808533085,0.42944698809720894,0.4302941136885967,0.4312603605754703,0.43212968710125454,0.4330205392131474,0.433955243168709,0.43488056951137044,0.4358642309985244
627.5963992199356,0.4157617504235737,0.4157477870566787,0.41578362856147044,0.41584915636834224,0.4158880582067604,0.4160317322516219,0.4161634833254458,0.4163225292715499,0.4165061675780366,0.4167122690925768,0.4169602969434964,0.41721822563147787,0.41751994234553247,0.41781178677168274,0.41815870961246604,0.4185092398568064,0.4189173291296345,0.4193389846964084,0.41978640201279466,0.42026526525706426,0.4207689945337395,0.42131093714589535,0.4218569225635019,0.4224359363854167,0.4230303852812403,0.4236281010273864,0.42429046825989475,0.4249464675233419,0.42562321129186675,0.4263340561062643,0.4270687867718888,0.4278369428990427,0.4286325820006394,0.4294459887429903,0.4302928114109728,0.4312616847487435,0.43213095051785605,0.4330192514561686,0.4339530380957526,0.43488186162407566,0.43586232382288187
706.0459491224277,0.41576665486201303,0.4157646846656833,0.4158026702726397,0.4158720813583178,0.41591449306059786,0.41605472272939453,0.4161855160402304,0.4163439623814777,0.416527184242362,0.4167381500298424,0.4169863126886405,0.4172437965444603,0.41754481463833454,0.4178362189566427,0.4181821738610567,0.4185316972659679,0.41893975502334646,0.41936126012860586,0.41980825064562594,0.42028653916302816,0.4207900684840463,0.4213323635133755,0.42187721335707484,0.42245564225960175,0.42304963944478086,0.42364817312619246,0.4243179499878433,0.42496556280264464,0.4256415822080377,0.4263518203027732,0.4270857079720301,0.42785349676088236,0.4286484598534774,0.42946114366456756,0.4303074705557844,0.4312727134468,0.43214672944434285,0.4330323100134051,0.43396513312556484,0.4348957901139011,0.4358740848427272
