% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:47"
% Dimension,1
% Nodes,397
% Expressions,41
% Description,Line graph
% Arc length (µm),genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode
0,0.01854369633959403,0.0185380680356359,0.01854440615446447,0.01852988792190625,0.01850697178699782,0.018504498833745726,0.018507688135047672,0.018507392976457784,0.018514360105844695,0.01850748946259844,0.018522501642122945,0.01853146649179267,0.018562668304950316,0.018595977563496163,0.018631184557470322,0.018681297641167313,0.018726260458245284,0.01879215379709187,0.018854453587466815,0.018917759939034218,0.018997203483395935,0.01909204255049681,0.019174397719388284,0.019281134705150024,0.019383824046748394,0.019477648085852655,0.019609335454694846,0.019730308567997335,0.019869678135070335,0.020011187164352774,0.020147525135792037,0.020300489371470894,0.020466799879882827,0.020625105419475,0.020794450782508807,0.02099573981941538,0.021186834464722776,0.021385942786766886,0.021585742621268417,0.021766362460684738,0.02198925851863372
78.44954990249195,0.018540164447724203,0.018536997194160316,0.018544687505102155,0.01853262050686097,0.018510902235416345,0.01850819101044834,0.01851085120647343,0.01851022375361178,0.018516163234025267,0.018511169647203875,0.018527314800177493,0.018536356011666057,0.018567267394640378,0.01860031295248168,0.018635221515363176,0.018685103348481422,0.018729883290038357,0.018795704309624923,0.01885777699314118,0.018920872778625253,0.01900020362513345,0.019095471289700523,0.01917736742361635,0.019283893510366277,0.019386415919642165,0.019480916798859476,0.019613100155534673,0.019733575688612413,0.01987259692239331,0.020013883792036873,0.020150052148456343,0.020302889507739542,0.02046908701378627,0.020627268530211847,0.020796632866536904,0.020998730264166147,0.021190029836152834,0.02138844082863696,0.021587859137332768,0.021770274172233935,0.02199231128842294
156.8990998049839,0.018536171818583167,0.018535460414591892,0.018544503929384188,0.018534883067079896,0.01851436066068518,0.018511405568626644,0.018513537439187783,0.018512576990554273,0.018517504492283687,0.018514391658968874,0.018531660220546784,0.01854077309698368,0.018571392670554004,0.018604170334019995,0.018638779215944052,0.018688426820647062,0.01873302153024937,0.01879876737205362,0.018860609123027908,0.018923491366920533,0.019002705827138207,0.019098395372925514,0.019179829480537255,0.01928613923680272,0.019388490074891716,0.01948366060398066,0.019616332425796894,0.019736305382499108,0.0198749726943589,0.020016029333209458,0.02015202115131265,0.020304724097677276,0.020470799767280966,0.020628849585499816,0.020798223466745175,0.02100110639444257,0.021192604667107047,0.021390308821545384,0.02158933577202739,0.02177353123644435,0.021994700486919264
235.34864970747586,0.018531718452170942,0.018533457696930624,0.018543855427310543,0.018536675602563023,0.018517347062804338,0.018514142508280644,0.018515746833190735,0.018514452687285257,0.018518383880619934,0.018517155497893435,0.01853553790323083,0.018544717747745566,0.018575044132691204,0.01860754970811112,0.01864185765921292,0.01869126805766424,0.01873567517887832,0.018801342984377963,0.01886294997712697,0.018925615703920075,0.019004710089410178,0.019100814800171787,0.019181783890150985,0.01928787188445937,0.019390046512497046,0.01948587950121622,0.019619032265481503,0.019738497649657412,0.019876805450967105,0.0200176237878705,0.020153432144360942,0.020305993141284083,0.020471938140366876,0.02062984858533892,0.020799222583133603,0.021002868210244642,0.021194558957585406,0.021391546765492177,0.02159017252535226,0.021776133653315998,0.021996426114122693
313.7981996099678,0.018526804348487518,0.01853098904117651,0.018542741998881243,0.01853799811331034,0.0185198614417738,0.018516401829410337,0.018517479388482264,0.018515850843804728,0.01851880139903401,0.01851946116397755,0.01853894784822962,0.018548189963951703,0.01857822178105197,0.01861045107475504,0.018644456845169802,0.018693627059532952,0.018737844235925213,0.018803431146597938,0.018864799555438374,0.01892724578962386,0.019006216411949377,0.01910272957143934,0.01918323065245754,0.01928909145333622,0.019391085232458145,0.01948757349056614,0.01962119967458852,0.019740152490087332,0.01987809519221793,0.020018667156020013,0.02015428512760124,0.020306696638559985,0.02047250213304402,0.020630265529729137,0.02079963021570221,0.02100401571157237,0.021195892707587892,0.021392154660477315,0.0215903693973074,0.021778081422848868,0.021997488170033226
392.2477495124598,0.01852142950753289,0.01852805444732956,0.01854116364409628,0.018538850599321845,0.018521903797593595,0.01851818353201572,0.018518735105062415,0.018516771460112696,0.01851875704752593,0.01852130865722123,0.018541890055543138,0.018551189745602097,0.0185809256156363,0.018612874433951782,0.01864657677381469,0.0186955038262532,0.01873952870139003,0.018805031858713583,0.018866157857962116,0.018928381624031904,0.019007224794755802,0.019104139686728173,0.019184169767456936,0.01928979794343328,0.019391606234775018,0.01948874257203043,0.019622834653117933,0.01974126990378886,0.01987884191811136,0.02001915943765801,0.02015458010103354,0.02030683458950498,0.020472491745312394,0.02063010041867049,0.020799446364450965,0.021004548898425762,0.02119660591711453,0.02139213250650082,0.021589926387892797,0.021779374545042956,0.02199788665465088
470.6972994149517,0.018515593929307062,0.018524653915389756,0.01853912036295564,0.01853923306059755,0.018523474130263704,0.018519487616096803,0.018519513982931144,0.01851721453620915,0.018518250826095678,0.018522697977624458,0.018544364525171417,0.018553717092696737,0.018583155636444193,0.018614819785701318,0.018648217445147584,0.01869689835782499,0.018740728575272807,0.018806145120724857,0.018867024884698203,0.018929023207144183,0.019007735237829462,0.01910504514603828,0.019184601235149163,0.01928999135475053,0.019391609519447673,0.019489386745609093,0.019623937201069728,0.019741849890762,0.019879045628647396,0.020019100632784465,0.020154317064657826,0.02030640699411904,0.020471906977172008,0.020629353252162974,0.020798671029379903,0.021004467770804815,0.021196698586165307,0.021391480303562686,0.02158884349710845,0.021780013019898275,0.021997621567975627
549.1468493174436,0.01850931815042088,0.018520789240450718,0.01853661593793811,0.0185391202235845,0.018524540617160357,0.018520275223048794,0.018519780488210208,0.018517149408120673,0.018517327680449794,0.018523677981826962,0.01854638938340143,0.018555780211159383,0.018584919417796462,0.01861629357516978,0.01864938719494036,0.018697819517039325,0.018741454442901175,0.018806780733483592,0.01886741344871704,0.01892918543753312,0.019007763971956738,0.019105453300364065,0.01918453959740811,0.019289688717147493,0.019391115120165378,0.019489522272092757,0.019624520895437515,0.019741911031777064,0.01987872821975122,0.02001851590190413,0.020153522608604754,0.0203054421243644,0.02047077514171285,0.020628058333941324,0.020797335671437014,0.021003761108707487,0.021196171442932257,0.02139020987132569,0.02158713586067221,0.021779998858185587,0.021996711014355068
627.5963992199356,0.0185029456420511,0.018516694377754755,0.018533883872951257,0.018538539058403844,0.01852507252369609,0.018520474648017374,0.018519488073598395,0.01851656559809174,0.018516440053511645,0.018524716843733156,0.01854822979286672,0.018557592088271156,0.018586424272108427,0.01861750308680333,0.018650298975506303,0.018698484846667574,0.01874193219303417,0.01880716635587924,0.018867565066949553,0.01892912013877375,0.019007568722395764,0.019105574167123114,0.01918423935599155,0.019289163578772483,0.019390406643259892,0.01948940970709027,0.019624822004787417,0.019741725640974702,0.019878184721971802,0.020017719790849303,0.02015251463275399,0.020304266997964754,0.020469428302881985,0.020626559937757756,0.020795780961222643,0.021002520376515843,0.021195179230422228,0.021388539408782322,0.021585052282583703,0.02177948879446339,0.021995413673513382
706.0459491224277,0.018498073545377476,0.018513725128829546,0.018532274560958177,0.01853840683647802,0.018525854368874908,0.018520789938660225,0.01851936889757179,0.01851621603254121,0.018516977203170578,0.01852711372148393,0.018550877654013323,0.018560036918139382,0.018588533469175054,0.01861928491821143,0.018651785734895503,0.01869971910216285,0.01874298165715493,0.018808097262451508,0.018868280543513655,0.018929636310765042,0.019007955696985185,0.019106115845909377,0.01918445464244366,0.019289188224910322,0.019390264367413295,0.019489763217656084,0.019625498781223494,0.0197419899878395,0.019878134462134985,0.020017431995485804,0.020152015729787205,0.020303598825349583,0.02046857586349373,0.020625568413602084,0.020794693899271282,0.021001104661566957,0.021194112944019083,0.02138692003473258,0.021583076904716055,0.021778821064359785,0.0219941510865921
