% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 18:16"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity
784.4954990249196,3.2081155336335693E-10,3.766395912873054E-10,3.8000552709726385E-10,3.8348594493028156E-10,3.8669208533062463E-10,3.901497681837444E-10,3.93619384329198E-10,3.9713995898522006E-10,4.00659366321649E-10,4.045220810685342E-10,4.0803125968734973E-10,4.1149647429639096E-10,4.150097835913971E-10,4.185560126163457E-10,4.221153754489027E-10,4.2567296169769064E-10,4.2923406182225714E-10,4.3278678703907994E-10,4.3631793631743624E-10,4.398543221567878E-10,4.433792758460172E-10,4.4688186134684507E-10,4.503280762714077E-10,4.5380323467691267E-10,4.572577820889195E-10,4.6068848572506006E-10,4.6408663405309213E-10,4.674440893779208E-10,4.70838836457799E-10,4.741977419576547E-10,4.775080787529228E-10,4.807756790265549E-10,4.840315539702145E-10,4.872298998511844E-10,4.904125981423907E-10,4.935245738855008E-10,4.964820096068155E-10,4.994773043785583E-10,5.024453068119856E-10,5.053415682699957E-10,5.08198636150532E-10,5.110216728334242E-10
862.9450489274116,3.208115533633573E-10,3.7668907121279475E-10,3.800331555627246E-10,3.8348288824739686E-10,3.8666722858675126E-10,3.901251261574107E-10,3.9360330534593516E-10,3.971293535504843E-10,4.00651054610072E-10,4.045266789254585E-10,4.0800043830675465E-10,4.114635456477481E-10,4.1497929098245507E-10,4.1852863289827693E-10,4.220914009490984E-10,4.2565175168632474E-10,4.2921531770123373E-10,4.327698961193318E-10,4.363015132919855E-10,4.398395598599381E-10,4.433662582032961E-10,4.468693775068745E-10,4.5031216199441944E-10,4.53789874881712E-10,4.572462110985544E-10,4.606777965431053E-10,4.640698528651319E-10,4.674199126068543E-10,4.708183598106486E-10,4.741794222979822E-10,4.774911197143444E-10,4.807592777156325E-10,4.840153849611671E-10,4.87214065849893E-10,4.903959260391762E-10,4.935078240130499E-10,4.96465906498819E-10,4.994508667352461E-10,5.024228236867164E-10,5.053212325927302E-10,5.081653128534191E-10,5.109914621515156E-10
941.3945988299034,3.2081155336335693E-10,3.7673092870498E-10,3.800562500811773E-10,3.834728022832004E-10,3.8664286404221353E-10,3.9010242935025593E-10,3.935892256313249E-10,3.9711993490698467E-10,4.006438291265089E-10,4.045228666899616E-10,4.0796618018204253E-10,4.1143013742669803E-10,4.1494921702850315E-10,4.185018156658829E-10,4.220679885047398E-10,4.2563100821595806E-10,4.291969385141372E-10,4.327532617976302E-10,4.362854549483199E-10,4.398249798725871E-10,4.4335320908254136E-10,4.468567651528989E-10,4.502970162166115E-10,4.537765578216578E-10,4.572343006948709E-10,4.60666439436142E-10,4.64053068360717E-10,4.673965051983078E-10,4.707978188356509E-10,4.741605309677782E-10,4.774732577750705E-10,4.80741736382125E-10,4.839978948648937E-10,4.871967045995369E-10,4.903773810535755E-10,4.934892286885997E-10,4.964500106307418E-10,4.994248512106936E-10,5.023995051063633E-10,5.052994824978013E-10,5.081322727956068E-10,5.109603140635336E-10
1019.8441487323953,3.2081155336335714E-10,3.767652136670878E-10,3.800748709429521E-10,3.834559883212917E-10,3.866192886267934E-10,3.9008185837006725E-10,3.935772403659304E-10,3.971117813011457E-10,4.006377683287431E-10,4.045107865297082E-10,4.0792880000953883E-10,4.1139643540849967E-10,4.1491969667726217E-10,4.184756798433287E-10,4.2204524332178565E-10,4.256108281734806E-10,4.2917901279969933E-10,4.327369644065261E-10,4.362698347679354E-10,4.39810658646488E-10,4.433401949101868E-10,4.4684409187770997E-10,4.502826850514913E-10,4.5376334393998087E-10,4.572221136704311E-10,4.6065447387523474E-10,4.640363221738833E-10,4.673739342459803E-10,4.707772910718482E-10,4.741411394431063E-10,4.774545660785751E-10,4.807231256324829E-10,4.83979158708969E-10,4.871778871355844E-10,4.903570633620177E-10,4.934688583979463E-10,4.964342585262259E-10,4.993992655942762E-10,5.023753943536121E-10,5.05276362335514E-10,5.080995204819924E-10,5.109282793127609E-10
1098.2936986348873,3.2081155336335714E-10,3.7679190397193403E-10,3.800890367636626E-10,3.8343262248191663E-10,3.8659680030285574E-10,3.9006361014496087E-10,3.9356746286699914E-10,3.97104978836761E-10,4.0063295980853565E-10,4.044904156041205E-10,4.078885562377478E-10,4.1136260463545374E-10,4.1489085590170957E-10,4.1845033947556636E-10,4.220232671752885E-10,4.2559130487736406E-10,4.291616256741063E-10,4.327210805111261E-10,4.3625472347922423E-10,4.397966702082882E-10,4.4332727555138404E-10,4.468314189866111E-10,4.5026922241162887E-10,4.5375029044323657E-10,4.5720970714265964E-10,4.60641953584756E-10,4.6401965229823206E-10,4.673522784433472E-10,4.707568559488436E-10,4.74121316900306E-10,4.774351128560593E-10,4.807035104764185E-10,4.839592471967932E-10,4.871576787958552E-10,4.903350683841701E-10,4.93446774562998E-10,4.964185968408854E-10,4.993741282927493E-10,5.023505346626728E-10,5.052519089228278E-10,5.080670733883671E-10,5.108954080389986E-10
1176.7432485373793,3.2081155336335693E-10,3.768109209372232E-10,3.8009884125250154E-10,3.834024724472279E-10,3.8657591128943396E-10,3.900481757478576E-10,3.935603152099258E-10,3.97099874092387E-10,4.0062974884989507E-10,4.0446109426570845E-10,4.078456637137257E-10,4.1132893154581156E-10,4.1486299472084475E-10,4.1842609948070255E-10,4.2200236082283854E-10,4.255727307868367E-10,4.2914506105491024E-10,4.3270588056312104E-10,4.362403899948104E-10,4.3978329095885094E-10,4.4331468356385287E-10,4.468189836889966E-10,4.502569328631197E-10,4.5373764690664643E-10,4.571973290252214E-10,4.60629118831484E-10,4.640032932178403E-10,4.673318856123419E-10,4.707368238068003E-10,4.741013334674163E-10,4.774151623280342E-10,4.806831447346982E-10,4.839384322067711E-10,4.871363395037126E-10,4.903116869443733E-10,4.934232145543287E-10,4.964032320281874E-10,4.993496999936499E-10,5.023251732617412E-10,5.052263254288628E-10,5.080352120688107E-10,5.108619611140556E-10
1255.1927984398712,3.2081155336335693E-10,3.768229881166628E-10,3.8010493933903367E-10,3.83367176654728E-10,3.865578073228277E-10,3.9003636159053943E-10,3.935563557137999E-10,3.9709701019177456E-10,4.006286775307807E-10,4.04424129013148E-10,4.078015038529173E-10,4.1129631504071573E-10,4.1483684006751456E-10,4.184036222800254E-10,4.2198314763180144E-10,4.2555571806126043E-10,4.29129906170523E-10,4.326919357177492E-10,4.3622738496946896E-10,4.3977106530631047E-10,4.433029734586795E-10,4.468073296289007E-10,4.5024624775462693E-10,4.5372592619891857E-10,4.571855205098765E-10,4.606165135289176E-10,4.6398774359960023E-10,4.67313226192722E-10,4.707177210626061E-10,4.740817537764442E-10,4.773952900963899E-10,4.806626043634848E-10,4.839172823119816E-10,4.871144423095216E-10,4.902875736294747E-10,4.933987633370891E-10,4.963883404940391E-10,4.993263696556004E-10,5.022998279505016E-10,5.052001494797675E-10,5.080042893819108E-10,5.108284462494098E-10
1333.6423483423632,3.2081155336335693E-10,3.768273709646798E-10,3.8010678617134523E-10,3.8332623569696454E-10,3.8654282035232175E-10,3.900282290351764E-10,3.9355538111112404E-10,3.970960743974675E-10,4.006294752136254E-10,4.04377974803067E-10,4.077561750235304E-10,4.1126460437446723E-10,4.148121702539402E-10,4.18382642392271E-10,4.2196536156285127E-10,4.255400115013028E-10,4.2911586263168704E-10,4.3267894338547264E-10,4.362154162465454E-10,4.3975962357518493E-10,4.4329181799248944E-10,4.467960932473613E-10,4.5023675673096643E-10,4.5371470044329413E-10,4.571739519378878E-10,4.606037403973508E-10,4.639726258028362E-10,4.672959709528813E-10,4.706991730474214E-10,4.740623645029549E-10,4.773752400790217E-10,4.806416481377781E-10,4.838955151851872E-10,4.870917413256987E-10,4.902626529018024E-10,4.933731778923602E-10,4.963734371115408E-10,4.993039047851758E-10,5.022743652434306E-10,5.051729866212236E-10,5.079739074455698E-10,5.10794559583867E-10
1412.0918982448552,3.208115533633573E-10,3.768242276229186E-10,3.801046336208844E-10,3.832815822589414E-10,3.8653217289465947E-10,3.9002460737051E-10,3.935579488411372E-10,3.9709758265184864E-10,4.00632667670803E-10,4.0432489870783187E-10,4.077109654576728E-10,4.112346720770569E-10,4.147897012305429E-10,4.1836382093423427E-10,4.2194959781754207E-10,4.2552618786312237E-10,4.291034926962472E-10,4.3266744642905564E-10,4.362049798686439E-10,4.3974953315822535E-10,4.432817599466865E-10,4.4678586183326564E-10,4.502289641921726E-10,4.5370462375788364E-10,4.5716319668160454E-10,4.6059143494911603E-10,4.639585309059864E-10,4.672807016042256E-10,4.706818125954611E-10,4.740437234516596E-10,4.773556091599302E-10,4.80620848933717E-10,4.838736953668592E-10,4.870687776345544E-10,4.902374874174629E-10,4.933470413802469E-10,4.963587062097461E-10,4.992828241883059E-10,5.022493361252703E-10,5.051456226107777E-10,5.079446032327196E-10,5.107609530027854E-10
1490.5414481473472,3.2081155336335714E-10,3.76814847187076E-10,3.8009894216693387E-10,3.8323615360093954E-10,3.865254956013307E-10,3.9002463256798336E-10,3.935630946799685E-10,3.9710083269917645E-10,4.0063748296659695E-10,4.0426855066835273E-10,4.076669052703252E-10,4.1120657061874086E-10,4.147691357497195E-10,4.183467509135838E-10,4.219353721918573E-10,4.255137217883075E-10,4.290922680481866E-10,4.326569191692961E-10,4.361954948545467E-10,4.3974024071894833E-10,4.432722584394808E-10,4.467760845918988E-10,4.502220366885772E-10,4.5369504474901453E-10,4.571526208086864E-10,4.6057902468692524E-10,4.639447308823081E-10,4.672664674321114E-10,4.706648933772098E-10,4.740251485851515E-10,4.773357579103855E-10,4.805995960856558E-10,4.838512293631336E-10,4.870449590973538E-10,4.902114677737159E-10,4.933197733636808E-10,4.963429791866003E-10,4.992619057070865E-10,5.022238149379058E-10,5.051173361596783E-10,5.079152459663605E-10,5.107267566841193E-10
