% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:17"
% Dimension,0
% Nodes,7410
% Expressions,9
% Description,"overpot_electrolyte, overpot_electrolyte_ohmic, overpot_electrolyte_concentration, overpot_ct, equilibrium_pot, overpot_rest, Cell potential, Number of cycles, Cell current"
% t,overpot_electrolyte (V),overpot_electrolyte_ohmic (V),overpot_electrolyte_concentration (V),overpot_ct (V),equilibrium_pot (V),overpot_rest (V),liion.cdc1.phis0 (V),liion.cdc1.cycle_counter,liion.cdc1.Icell (A)
300,0.10668515013909774,0.04148973523825147,0.06519541490084627,0.08411346665448786,3.355186164948998,0.067779838533426,3.6137646202760094,0,0.847927232781602
330,0.10544074992562436,0.04097438551746,0.06446636440816436,0.08005700943363003,3.3688844137738165,0.06624106170482236,3.6206232348378933,0,0.8479272327816015
360,0.10461912311306816,0.04073711363244681,0.06388200948062135,0.0759847028469211,3.382034105659053,0.0645235762978703,3.6271615079169126,0,0.8479272327816012
390,0.10475893150217205,0.04098133563304121,0.06377759586913084,0.07299955324595661,3.394233861726653,0.0618433409392502,3.633835687414032,0,0.8479272327816015
420,0.10598322587225426,0.041672196169058,0.06431102970319626,0.07155089291656441,3.4058777095532027,0.057418604434083614,3.640830432776105,0,0.8479272327816015
450,0.10778266308849828,0.0425198055846438,0.06526285750385448,0.07132682864526574,3.4152367324299395,0.054043560237736585,3.64838978440144,0,0.847927232781602
480,0.10980920509005798,0.04341923798009985,0.06638996710995813,0.07146783388090205,3.4217776340382056,0.05332813396827374,3.6563828069774393,0,0.8479272327816014
510,0.11188734754121403,0.04432014921867835,0.06756719832253569,0.07198139732394568,3.427615205939112,0.05334623746416421,3.6648301882684358,0,0.8479272327816016
540,0.11389633344776752,0.04517546153706297,0.06872087191070456,0.07254088859715815,3.4334295144241436,0.053770333745353296,3.6736370702144225,0,0.8479272327816016
570,0.11570268260205609,0.04592522117797227,0.06977746142408381,0.07327016784016395,3.439265349628293,0.05438517585151091,3.6826233759220237,0,0.8479272327816018
600,0.11724181632080942,0.046558281613938456,0.07068353470687097,0.074155492290778,3.4453052513050233,0.05517434417166124,3.691876904088272,0,0.8479272327816018
630,0.11848703726136015,0.04706462299318227,0.07142241426817787,0.07479654842706784,3.4516517711458707,0.056525399276744354,3.701460756111043,0,0.8479272327816018
660,0.11934269000714917,0.047382291075236185,0.07196039893191299,0.0748387698321262,3.4587184201000767,0.058420415135578385,3.7113202950749304,0,0.8479272327816012
690,0.119657253410371,0.04743987002335883,0.07221738338701217,0.07396907049642161,3.466652629265943,0.06084623641684048,3.7211251895895763,0,0.8479272327816019
720,0.11954886426433647,0.047329910833562604,0.07221895343077386,0.07236668381693315,3.4758980870657146,0.06265580132376272,3.730469436470747,0,0.8479272327816013
750,0.11928440814592903,0.04718862676981056,0.07209578137611847,0.07066833149784581,3.486292711975736,0.06308466537419985,3.7393301169937105,0,0.8479272327816013
780,0.11899549587526212,0.04704746452228912,0.07194803135297301,0.0690064307355094,3.4972977813949315,0.06227608823040723,3.7475757962361103,0,0.8479272327816016
810,0.11865228200044647,0.04687516954600039,0.07177711245444608,0.06773051633145691,3.5078661231763317,0.061015999737017795,3.755264921245253,0,0.847927232781602
840,0.1181631960862153,0.04662935084121167,0.07153384524500363,0.0664150909393537,3.5177348348510415,0.060255351314273606,3.762568473190884,0,0.8479272327816021
870,0.11756538097859004,0.04634331692567872,0.07122206405291132,0.06480814423771494,3.5267129493121314,0.0602993083500343,3.7693857828784707,0,0.847927232781602
900,0.11693772045904227,0.04605755734943263,0.07088016310960965,0.06302803381448532,3.5359664951203684,0.05982719138630152,3.7757594407801975,0,0.8479272327816019
930,0.11640617058185845,0.04583204818621438,0.07057412239564408,0.06176366267064014,3.5448615802935035,0.058654035915290476,3.7816854494612926,0,0.8479272327816019
960,0.11590113849885825,0.04560314510018033,0.07029799339867793,0.060896798040159586,3.5534444375731797,0.057050326449468336,3.787292700561666,0,0.8479272327816014
990,0.11524414984486071,0.04529485390078434,0.06994929594407637,0.059878417043426294,3.5608341009667575,0.05683590066326037,3.792792568518305,0,0.8479272327816015
1020,0.11447838134683871,0.04494629647945581,0.06953208486738291,0.058448623225107244,3.567705702841114,0.05743176506226047,3.7980644724753203,0,0.847927232781602
1050,0.11369312711618451,0.04460297694735487,0.06909015016882963,0.056888485117681964,3.5747901709326055,0.05774825329469435,3.8031200364611664,0,0.8479272327816015
1080,0.11305407542843182,0.04435189946038882,0.06870217596804301,0.0547527563676731,3.582491153801397,0.05763450364122366,3.8079324892387256,0,0.8479272327816013
1110,0.1126656891308131,0.04422477423147755,0.06844091489933554,0.05303284816446068,3.5901739926566156,0.0567617592156206,3.81263428916751,0,0.8479272327816013
1140,0.11260230280269459,0.044250543588756776,0.06835175921393782,0.05186883451699664,3.597643126162825,0.05508512319953482,3.817199386682051,0,0.8479272327816012
1170,0.11284256834418449,0.04440800371106694,0.06843456463311755,0.0512683384043266,3.604519923297371,0.05320121892945934,3.8218320489753412,0,0.8479272327816016
1200,0.11333977255374471,0.04468439228123145,0.06865538027251325,0.05108296726887259,3.610049396802032,0.052313909045642745,3.8267860456702922,0,0.8479272327816015
1230,0.11409940409630295,0.04506463655048423,0.06903476754581872,0.05092643671449369,3.6147166894119027,0.05234098681314489,3.8320835170358443,0,0.8479272327816012
1260,0.11481518502280127,0.045353835483720184,0.06946134953908109,0.05062419075378591,3.6193947914140447,0.05232515252670222,3.837159319717334,0,0.8479272327816016
1290,0.11557528614559145,0.04570821312793666,0.0698670730176548,0.05042744617596345,3.6240207784850376,0.05231763582974594,3.8423411466363384,0,0.8479272327816012
1320,0.11656820901618696,0.04618543533470328,0.07038277368148368,0.05028853910009472,3.6286308978876285,0.0523689363464588,3.847856582350369,0,0.8479272327816018
1350,0.11748128285257585,0.04655085601467267,0.07093042683790318,0.04997566519198565,3.6332970576680563,0.05236982979548539,3.8531238355081032,0,0.8479272327816021
