% Model,EMSI_model_V1_C_rate_0.5_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:49"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode
0,0.9419999999999985,0.9355620137176186,0.9353539236675775,0.9353830611448181,0.9353168407684517,0.9353423530571614,0.935352232339239,0.9353644995811011,0.9353606417418107,0.9353652743550231,0.935347873268457,0.9353400397601259,0.9353366552527569,0.9353371267871449,0.9353313148209499,0.9353047153350329,0.9352887382389646,0.935272722416464,0.9352433611840016,0.9352103597508322,0.9351857581439204,0.9351518922537656,0.9351222903632256,0.9350839347991624,0.9350506755692112,0.9350095300402209,0.9349627897474362,0.9349207902831452,0.9348729730258136,0.9346803266901642,0.9346747299907147,0.9346305534183689,0.934589466395776,0.9345662208594661,0.9345186333922424,0.9344649432444163,0.9344067279412238,0.9343686418478344,0.9343091175023513,0.9342559980842348,0.9341769002336531,0.9341577217530227
78.44954990249195,0.941999999999998,0.9355363006471961,0.9353373373908809,0.9353642886173059,0.9353034161781236,0.9353254199330228,0.9353331459868269,0.9353445141867115,0.93534052330793,0.9353438209073799,0.9353280156809846,0.9353201100946821,0.9353162738495843,0.9353159404586836,0.9353097668425708,0.9352832205398601,0.9352673363967242,0.935249581021095,0.9352204872336389,0.9351882324146638,0.9351642968483648,0.9351297931780006,0.935100729365935,0.9350618183853152,0.9350280813371206,0.934987191895435,0.9349406222466965,0.9348981064024524,0.9348499517265599,0.9346658636556197,0.9346564511134884,0.9346104246389101,0.9345705929999447,0.934547003613295,0.9344984239487397,0.9344438057921316,0.934385121395121,0.9343467826889024,0.9342870758876175,0.9342341362058401,0.9341563577582214,0.9341383517446891
156.8990998049839,0.9419999999999987,0.9355189023207633,0.935329074797479,0.9353538154161858,0.9352982622798994,0.935316744366607,0.9353223492575792,0.9353327962755982,0.9353286428263657,0.9353306314472666,0.9353164016632468,0.9353084106522235,0.9353041391500743,0.9353029795513256,0.9352964376829694,0.9352699374613782,0.9352541310839245,0.9352346270744049,0.9352058116208379,0.9351743076366104,0.9351510153015484,0.9351158893085153,0.9350873379698891,0.9350478917648213,0.9350136740513953,0.9349730471717091,0.9349266360783091,0.9348835976268782,0.9348351122875094,0.9346597055035849,0.9346463568444473,0.9345985165913225,0.9345599123724533,0.9345359423833071,0.9344863729844832,0.9344308526402,0.9343717043380991,0.9343330932013993,0.9342732101542448,0.9342204364116554,0.9341440626274983,0.9341271666021214
235.34864970747586,0.941999999999999,0.9355098187383211,0.9353291358873728,0.9353516415414582,0.9353013790737795,0.9353163263579123,0.9353198421514956,0.9353293458477613,0.9353250002971175,0.9353257059746843,0.9353130312152448,0.9353049414327499,0.9353002511542259,0.9352982440650709,0.9352913273421473,0.9352648660995886,0.9352491223005647,0.9352278605763934,0.9351993343455983,0.9351685854166726,0.9351459135034703,0.9351101806453094,0.9350821161750883,0.9350421549376795,0.9350074537120353,0.9349670958690425,0.9349208312422758,0.9348772639564213,0.9348284547086615,0.9346618522340608,0.9346444471835915,0.9345948292756058,0.9345574245133034,0.9345330371695035,0.9344824804994728,0.9344260837886222,0.9343664767701593,0.9343275733853259,0.934267520302232,0.9342148987016811,0.9341400148414828,0.9341241663253202
313.7981996099678,0.9419999999999992,0.9355090498998686,0.9353375206605613,0.9353577669931229,0.9353127665597648,0.9353241659069405,0.9353256246685759,0.9353341629032005,0.9353295957201861,0.935329044489633,0.9353179043369773,0.9353097024362613,0.9353046098620408,0.9353017339999193,0.9352944358201034,0.9352680064544894,0.9352523100466452,0.9352292815270602,0.9352010554079215,0.9351710657548497,0.9351489914541306,0.9351126671883829,0.935085063981533,0.9350446079038903,0.9350094203190412,0.9349693379874349,0.9349232077385953,0.934879105391083,0.9348299789900169,0.9346723038470474,0.9346507221309208,0.9345993626917598,0.9345631294224942,0.934538287971883,0.934486746493708,0.9344294992373986,0.9343694386913011,0.9343302232406812,0.9342700063315799,0.9342175230759171,0.9341442144001755,0.9341293509142858
392.2477495124598,0.9419999999999987,0.9355165958054064,0.9353542291170458,0.9353721917711803,0.9353324247378543,0.93534026301369,0.9353396968088207,0.9353472474419167,0.9353424290955713,0.9353406469921123,0.9353310210284456,0.9353226936627587,0.9353172152735176,0.9353134493558711,0.9353057631168384,0.9352793585260821,0.9352636943221663,0.9352388899264054,0.9352109748078057,0.9351817486511421,0.9351602491535297,0.9351233489377362,0.9350961813892218,0.935055250663455,0.9350195738724117,0.9349797735268875,0.934933765567268,0.9348891219308624,0.934839685131575,0.9346910603425441,0.934665181686435,0.9346121168397844,0.9345770271000253,0.9345516947904463,0.9344991709671898,0.9344410989865289,0.9343805901015245,0.9343410427674657,0.9342806682422882,0.9342283095343634,0.9341566613035764,0.9341427203690175
470.6972994149517,0.9419999999999987,0.9355324564549344,0.9353792612568251,0.93539491587563,0.935360353608048,0.9353646176781617,0.935362058572229,0.9353685994639087,0.935363500423273,0.9353605134821227,0.9353523812896487,0.9353439151122404,0.9353380673886569,0.9353333901329263,0.9353253092323517,0.9352989223143656,0.9352832751271271,0.9352566857744294,0.935229092545252,0.9352006341055502,0.9351796866016675,0.9351422258933687,0.9351154683981563,0.9350740832163718,0.9350379143721477,0.9349984024873996,0.9349525047282939,0.9349073135757601,0.9348575731333353,0.9347181217205521,0.9346878258501349,0.9346330917196801,0.934599117545898,0.9345732576251932,0.934519753919917,0.9344608830360133,0.9343999310008293,0.9343600319656794,0.9342995060343576,0.9342472580770201,0.9341773555516855,0.9341642746895156
549.1468493174436,0.9419999999999985,0.9355519414505082,0.935408009550602,0.9354213712797534,0.935391781635659,0.9353925545636179,0.935388245733357,0.9353937111306677,0.935388306927039,0.9353842571136766,0.935377542171869,0.9353688683669974,0.9353628303917314,0.9353572319383372,0.9353486755874009,0.9353222588869682,0.9353066001320787,0.9352783541822104,0.9352511040177494,0.9352234054841505,0.9352028367248799,0.9351649592177158,0.9351385485452969,0.9350967541012434,0.9350600756139981,0.9350209420223026,0.9349750750204033,0.9349293213894551,0.9348793184133395,0.9347491572161939,0.9347143432062424,0.9346583105891577,0.9346252359323779,0.9345985551324967,0.9345441630159911,0.9344845546345656,0.9344231824018039,0.9343829241950387,0.9343222347046276,0.9342700042179254,0.9342024726573385,0.9341896783616966
627.5963992199356,0.9419999999999985,0.9355537610529444,0.9354193884045054,0.935430654734255,0.9354050478821667,0.9354029620421908,0.935397324840875,0.9354018060219299,0.9353958658171764,0.9353912470150475,0.9353858274205504,0.9353768840195177,0.9353705666706936,0.9353643478225113,0.9353553208496432,0.9353287738653367,0.9353127403021357,0.9352831679469823,0.9352566842864348,0.9352293761632303,0.9352088409084778,0.9351709364581142,0.9351444872443706,0.9351024845437191,0.9350653208980841,0.935026639040252,0.9349805726579371,0.9349343147495967,0.9348843987062572,0.9347634845685029,0.9347240112568278,0.9346680667958646,0.9346349324844662,0.9346067883958263,0.9345515024516835,0.9344915380562759,0.9344296309626198,0.9343890822651095,0.9343281679311272,0.9342758781730192,0.9342126627913991,0.9341980185677364
706.0459491224277,0.9419999999999985,0.9355371645081977,0.9354124601485296,0.9354218233422333,0.9353993160064256,0.9353949764848973,0.9353883340604011,0.9353920197773434,0.9353852670591181,0.9353804191476585,0.9353764524831933,0.9353667876750675,0.9353603172545146,0.9353537628869377,0.9353443962844038,0.9353175893761997,0.9353007735468571,0.9352702230798645,0.9352447701057688,0.9352175257486579,0.9351969104155633,0.9351588285517227,0.9351320717670346,0.935090104645116,0.9350528418642677,0.9350141773663805,0.9349680195916962,0.9349213799002041,0.9348717366300353,0.9347592400036757,0.934715687068182,0.9346612981787844,0.9346269036172639,0.9345970396910687,0.9345408225827531,0.9344805346575906,0.9344181624843522,0.9343773273075908,0.9343162271703134,0.9342637978731784,0.9342068962810749,0.9341881924027642
