% Model,EMSI_model_V1_modval_dch_noflow_C_rate_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 13 2026, 08:01"
% Dimension,1
% Nodes,120
% Expressions,1
% Description,Global
% timeint(0;t;liion.cdc1.Icell; 'nointerp')*4 (Ah),Value
0,25.000000105646052
-0.014132403188770749,25.456404415161103
-0.04239664428149082,25.90451386095077
-0.07066088537421086,26.296332528626294
-0.09892512646693091,26.628595041269534
-0.12718936755965096,26.906894459658076
-0.155453608652371,27.138467706524295
-0.18371784974509106,27.330140033446128
-0.2119820908378111,27.48816937284073
-0.24024633193053116,27.61845380350553
-0.2685105730232512,27.72643511597147
-0.2967748141159713,27.817030816979354
-0.3250390552086913,27.894249102216634
-0.3533032963014114,27.961539278892133
-0.38156753739413146,28.021397326670296
-0.4098317784868515,28.075519878173623
-0.43809601957957156,28.125078944765278
-0.4663602606722916,28.170939524101357
-0.4946245017650116,28.21351245164567
-0.5228887428577317,28.253088049308758
-0.5511529839504518,28.289316786662198
-0.5794172250431717,28.321569025260374
-0.6076814661358919,28.34904264850087
-0.6359457072286119,28.371687644383826
-0.664209948321332,28.389781453204193
-0.692474189414052,28.404325851953217
-0.7207384305067722,28.41643690981448
-0.7490026715994922,28.426886480813437
-0.7772669126922123,28.436092575611838
-0.8055311537849325,28.44423404099871
-0.8337953948776525,28.45160132443101
-0.8620596359703726,28.458383758170783
-0.8903238770630926,28.46451865741659
-0.9185881181558128,28.470003257875533
-0.9468523592485328,28.474336242140737
-0.9751166003412529,28.477640562833642
-1.003380841433973,28.480210498205338
-1.0316450825266932,28.481845364113212
-1.0599093236194133,28.483023507648852
-1.0881735647121333,28.48419077969845
-1.1164378058048534,28.48551956925928
-1.1447020468975737,28.487291640033447
-1.1729662879902938,28.489791273398453
-1.2012305290830139,28.492771344566734
-1.229494770175734,28.495997136396568
-1.257759011268454,28.49924234919814
-1.286023252361174,28.50270928978074
-1.3142874934538944,28.50667612875668
-1.3425517345466145,28.51083003359122
-1.3708159756393345,28.514583376403095
-1.3990802167320546,28.5176943351525
-1.4273444578247747,28.519987775657967
-1.4556086989174948,28.52112478555904
-1.483872940010215,28.521165184336212
-1.5121371811029352,28.520876461908472
-1.5404014221956552,28.52035615172366
-1.5686656632883753,28.51947219698701
-1.5969299043810954,28.517464973451467
-1.6251941454738155,28.513554154147812
-1.6534583865665358,28.507429969722295
-1.6817226276592558,28.498359612187073
-1.709986868751976,28.48596299717491
-1.738251109844696,28.47153405651568
-1.766515350937416,28.456075329241116
-1.7947795920301362,28.440325936282477
-1.8230438331228562,28.425768135925296
-1.8513080742155765,28.414654251196907
-1.8795723153082966,28.407619402986256
-1.9078365564010167,28.40550842187065
-1.9361007974937368,28.40914422337181
-1.9643650385864568,28.41836925257587
-1.992629279679177,28.433182304621994
-2.020893520771897,28.454216413666813
-2.0491577618646173,28.480906017140796
-2.0774220029573374,28.512590420607125
-2.1056862440500574,28.54856304233897
-2.1339504851427775,28.58830864855446
-2.1622147262354976,28.63116487086262
-2.1904789673282177,28.6773457540541
-2.2187432084209378,28.726294226299274
-2.247007449513658,28.7780966244423
-2.2752716906063783,28.83266907043037
-2.303535931699098,28.890303837382305
-2.331800172791818,28.952281189142013
-2.360064413884538,29.019721431448204
-2.388328654977258,29.090222796184207
-2.4165928960699783,29.16061011684576
-2.4448571371626984,29.227087661669202
-2.473121378255419,29.28439359610644
-2.501385619348139,29.332511433477578
-2.529649860440859,29.372226445193405
-2.557914101533579,29.40550413474557
-2.586178342626299,29.43467692070658
-2.6144425837190193,29.460383498634087
-2.6427068248117394,29.48225509540123
-2.6709710659044594,29.502216558470423
-2.6992353069971795,29.52155395991639
-2.7274995480898996,29.540888894510942
-2.7557637891826197,29.562134003535334
-2.7840280302753397,29.586754362023612
-2.81229227136806,29.616412554686917
-2.8405565124607803,29.650056339070545
-2.8688207535535004,29.686731552954654
-2.8970849946462205,29.723391327384434
-2.9253492357389406,29.755182413478508
-2.9536134768316606,29.7822228057845
-2.9818777179243807,29.805466657306795
-3.010141959017101,29.825681808193792
-3.038406200109821,29.842228584212535
-3.066670441202541,29.855563015640314
-3.094934682295261,29.867810769878474
-3.123198923387981,29.88270966887262
-3.151463164480701,29.903776076975703
-3.1797274055734217,29.932928688186394
-3.207991646666142,29.97118066049086
-3.236255887758862,30.016072340252947
-3.264520128851582,30.06943224377153
-3.292784369944302,30.14424954385754
-3.313641916443605,30.217377662059732
-3.313641916443606,30.217377700287614
