% Model,EMSI_model_V1_modval_dch_C_rate_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 12 2026, 19:18"
% Dimension,1
% Nodes,120
% Expressions,1
% Description,Global
% timeint(0;t;liion.cdc1.Icell; 'nointerp')*4 (Ah),Value
0,25.000000105502068
-0.014132403188770763,25.486640175445586
-0.04239664428149085,25.97205050016828
-0.07066088537421092,26.40123305458934
-0.09892512646693098,26.766894077378595
-0.12718936755965105,27.07366709775596
-0.1554536086523711,27.32878901786688
-0.18371784974509114,27.539563038891515
-0.2119820908378112,27.712940009309705
-0.24024633193053124,27.85565155057884
-0.26851057302325126,27.974031103532468
-0.29677481411597134,28.073230208697566
-0.32503905520869136,28.157573536525376
-0.3533032963014114,28.230540303733676
-0.38156753739413146,28.29471549397141
-0.4098317784868515,28.35188115523482
-0.43809601957957156,28.403773668696715
-0.4663602606722916,28.451360732672015
-0.49462450176501166,28.49536616884012
-0.5228887428577317,28.53589584881388
-0.551152983950452,28.573815959744934
-0.5794172250431724,28.608329857064973
-0.6076814661358925,28.638474717125234
-0.6359457072286125,28.66382515719465
-0.6642099483213325,28.684699383386317
-0.6924741894140525,28.701194159071292
-0.7207384305067724,28.71339053591322
-0.7490026715994925,28.720962376517264
-0.7772669126922127,28.72406826928244
-0.8055311537849328,28.723730025421446
-0.8337953948776528,28.721479736983554
-0.8620596359703729,28.71798455592898
-0.8903238770630929,28.713568132681132
-0.918588118155813,28.70827885623197
-0.946852359248533,28.70227525050649
-0.9751166003412529,28.696157061838505
-1.003380841433973,28.69017780242683
-1.0316450825266932,28.684853768169944
-1.0599093236194133,28.680711837755098
-1.0881735647121333,28.678597451425276
-1.1164378058048532,28.679385601652257
-1.1447020468975735,28.683314376214184
-1.1729662879902936,28.69010515536951
-1.2012305290830136,28.699905624740325
-1.2294947701757337,28.712026230877996
-1.2577590112684538,28.725731936693364
-1.2860232523611739,28.7407887850635
-1.314287493453894,28.756577864125404
-1.3425517345466143,28.772600406306765
-1.3708159756393343,28.78843995929259
-1.3990802167320544,28.803371638968997
-1.4273444578247745,28.81667037458601
-1.4556086989174946,28.82849452020656
-1.4838729400102146,28.838989694256725
-1.512137181102935,28.84813539776951
-1.540401422195655,28.856627903284334
-1.568665663288375,28.864830069042796
-1.5969299043810952,28.872662930170975
-1.6251941454738152,28.88088761462808
-1.6534583865665353,28.88969765948076
-1.6817226276592556,28.898558890491813
-1.7099868687519757,28.90662411626812
-1.7382511098446958,28.913756211052146
-1.7665153509374159,28.91940460365845
-1.794779592030136,28.923376599498795
-1.823043833122856,28.92496439067355
-1.8513080742155763,28.92495110060196
-1.8795723153082964,28.924788772292118
-1.9078365564010165,28.92486364941152
-1.9361007974937365,28.92568329282301
-1.9643650385864566,28.928448312173145
-1.9926292796791767,28.93364442154001
-2.0208935207718968,28.9413127854516
-2.049157761864617,28.95215447020678
-2.077422002957337,28.96642869060406
-2.105686244050057,28.98366308911318
-2.1339504851427775,29.004176390832413
-2.1622147262354976,29.028153132515058
-2.1904789673282177,29.054495757554207
-2.2187432084209378,29.083381346260353
-2.247007449513658,29.11467822295475
-2.275271690606378,29.148104921706647
-2.303535931699098,29.18431293666464
-2.331800172791818,29.223485071074663
-2.360064413884538,29.265490636818924
-2.388328654977258,29.311681200354656
-2.4165928960699783,29.363597669929675
-2.4448571371626984,29.420464284760897
-2.473121378255419,29.48088092333046
-2.501385619348139,29.54093704917352
-2.529649860440859,29.593947352426255
-2.557914101533579,29.63809059145359
-2.586178342626299,29.67376567870207
-2.6144425837190193,29.703825778602948
-2.6427068248117394,29.72947253734469
-2.6709710659044594,29.750604833433727
-2.6992353069971795,29.76747033738792
-2.7274995480898996,29.783025104361286
-2.7557637891826197,29.79783992308188
-2.7840280302753397,29.813609589970838
-2.81229227136806,29.8332471473974
-2.8405565124607803,29.857415934903997
-2.8688207535535004,29.885535849947814
-2.8970849946462205,29.914974749692988
-2.9253492357389406,29.94114199763368
-2.9536134768316606,29.960342291508823
-2.9818777179243807,29.974724033385826
-3.010141959017101,29.984449416639336
-3.038406200109821,29.98969119727235
-3.066670441202541,29.991261122914636
-3.094934682295261,29.991539635508957
-3.123198923387981,29.99443362014415
-3.151463164480701,30.00368557937395
-3.1797274055734217,30.021160419842147
-3.207991646666142,30.04790660109319
-3.236255887758862,30.08218606905632
-3.264520128851582,30.12564862383209
-3.292784369944302,30.190782580993243
-3.313733034068098,30.257678690053012
-3.313733034068099,30.257678725486585
