% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_6E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 16:24"
% Dimension,1
% Nodes,397
% Expressions,41
% Description,Line graph
% Arc length (µm),genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot
0,1000.0000000000015,1023.3465315426862,1048.1589299251443,1073.175815940167,1098.2230424516333,1123.6487388890132,1149.3106976956049,1175.1304874615275,1201.1131553733644,1227.8057523278696,1254.0349194402886,1280.4808360080872,1307.1073236060909,1333.8528246934436,1360.7235000546566,1387.646252682218,1414.547177657324,1441.4172199157547,1468.0939488835106,1494.2183946815114,1519.3468658474637,1547.3061182642925,1574.2228427839705,1600.641592395403,1626.4727895464982,1652.0790567657189,1676.9625106516771,1701.6686677774344,1726.2023870072667,1750.1857124758005,1774.0472930103167,1797.3685086741168,1820.2816829463213,1842.8559854145292,1864.8448619611347,1887.354634095366,1908.4025822097935,1929.1531405469582,1949.6580420861658,1969.8609604306469,1989.6387350015593
78.44954990249195,1000.0000000000015,1023.3677111842125,1048.1859584184333,1073.2096142680161,1098.2802282128189,1123.7074547670388,1149.3668620523076,1175.189734799829,1201.1784876697086,1227.812180502582,1254.0595282436495,1280.5227380575795,1307.1626868290778,1333.9223332334245,1360.7992768031315,1387.7252213387221,1414.631321301667,1441.5110024681069,1468.1902702934433,1494.4261781861408,1519.9930505743364,1547.6296705517514,1574.4351291681119,1600.7694835916898,1626.57773232747,1652.151939103621,1677.0479787336512,1701.7815291592924,1726.2925129402543,1750.2998166385257,1774.1077015586804,1797.4033762114077,1820.2974307767709,1842.8395160771831,1864.8469009410708,1887.1876161045902,1908.2842232145276,1929.0717901454932,1949.5843338835411,1969.7840304964523,1989.5661402496228
156.8990998049839,1000.0000000000022,1023.3855824990642,1048.2103629629307,1073.240020913326,1098.3331059992881,1123.7617574901496,1149.4185845413085,1175.243355200297,1201.237680629906,1227.8127214717852,1254.0783286147007,1280.5577044493566,1307.2104516888432,1333.9832382837237,1360.8659016267939,1387.794429704989,1414.7046858073159,1441.592573791264,1468.2731841166835,1494.6230803855108,1520.5849537687031,1547.922541074071,1574.619884285668,1600.8734079077688,1626.6581505800216,1652.200617153547,1677.1094602198543,1701.8652182871974,1726.3538034342614,1750.3823683772794,1774.1398804480036,1797.412393404558,1820.2890086632453,1842.8011473492334,1864.824929715753,1887.007836189347,1908.1505521119748,1928.9728805668376,1949.4938259035976,1969.6901734127457,1989.4756687208694
235.34864970747586,1000.0000000000015,1023.4001049895388,1048.2321039715177,1073.2669916747614,1098.381622616365,1123.81159791328,1149.4658234748854,1175.2913142855016,1201.2906937627836,1227.807350238033,1254.0912946786452,1280.5857126523053,1307.2506019176028,1334.035522191702,1360.923348775463,1387.8538633900089,1414.7672655710592,1441.661926531221,1468.3426896117514,1494.8090807069375,1521.122378279157,1548.1846774462856,1574.7771038989342,1600.953400638019,1626.7141038090756,1652.225160342356,1677.14707537914,1701.9198460219905,1726.386384469928,1750.433483703166,1774.1440011590432,1797.395716755825,1820.2565709010257,1842.7410348161243,1864.7790532153897,1886.8155056624473,1908.0017274141755,1928.8565614551408,1949.3866690818506,1969.579775627904,1989.3681304302045
313.7981996099678,1000.0000000000016,1023.4112381579354,1048.2511418570764,1073.29048235099,1098.4257248693748,1123.856926891364,1149.5085371653158,1175.3335776780061,1201.3374865771707,1227.7960418038754,1254.0984005606838,1280.606740135314,1307.2831212475708,1334.079167304718,1360.971592498958,1387.9035080027718,1414.819054989686,1441.719053333974,1468.3987860371692,1494.9841585777347,1521.60512695429,1548.4160272834379,1574.9067837702044,1601.0094970768203,1626.7456515195527,1652.2256380969068,1677.1609444803657,1701.9455232245066,1726.3903820278942,1750.4532786272875,1774.1202351725517,1797.3535027674634,1820.2002717853975,1842.6593340632971,1864.7093763701876,1886.6108358367123,1907.8379076331687,1928.7229824545525,1949.26301435381,1969.4532235903048,1989.2443353925337
392.2477495124598,1000.0000000000015,1023.4189415065496,1048.2674370324867,1073.3104487406763,1098.4653595636435,1123.897695279337,1149.54668392488,1175.3701110003765,1201.3780185818991,1227.7787711718665,1254.0996203860211,1280.62076436727,1307.3079934109603,1334.1141559701339,1361.0106070470965,1387.9433491522657,1414.8600484599854,1441.763946845516,1468.4414726514567,1495.1482934252215,1522.033002642695,1548.616538200563,1575.0089196617694,1601.0417325185515,1626.7528532163767,1652.2021198440575,1677.1511877923895,1701.942360755577,1726.3659220888005,1750.4418691607448,1774.0687539692854,1797.2859079417317,1820.120265611646,1842.5562006761902,1864.6160041103506,1886.3940380249621,1907.6592512809927,1928.5722932092237,1949.123012654992,1969.3109037483339,1989.1050936227612
470.6972994149517,1000.0000000000016,1023.4231745376796,1048.2809499106295,1073.326846642487,1098.5004735044965,1123.9338539321348,1149.580222065855,1175.400879875179,1201.4122492857978,1227.7555133445567,1254.0949282798583,1280.6277628170612,1307.3252021399853,1334.1404705353089,1361.0403666696973,1387.97337244748,1414.8902403787483,1441.7965997118436,1468.4707487131345,1495.301464676711,1522.4058081929663,1548.7861578127015,1575.0835073359235,1601.05014225759,1626.735768404469,1652.1546750106688,1677.117925584063,1701.910469476045,1726.3131306332884,1750.3993713146467,1773.9897290299996,1797.1930887808837,1820.0167066750525,1842.4317902402474,1864.499041366088,1886.1653235400072,1907.465916869689,1928.4046433633055,1948.9668149209083,1969.153202550364,1988.9512151357922
549.1468493174436,1000.0000000000015,1023.423918393348,1048.291786076873,1073.3397081992634,1098.5310798928238,1123.965471526613,1149.60928473482,1175.4260768171532,1201.4403233289029,1227.7263331951838,1254.0844029073226,1280.6278635950464,1307.3349591128817,1334.1583234925254,1361.0609607596687,1387.9937409452564,1414.9097921799657,1441.8171695764768,1468.4867366701112,1495.444505390154,1522.7225634092958,1548.9249638582726,1575.1307212352813,1601.034902807526,1626.6947811105142,1652.0836686226603,1677.0618091218032,1701.850312377285,1726.2324704854943,1750.3261524176185,1773.8838234642828,1797.0756395593917,1819.8902121829378,1842.2866700092013,1864.3587568908517,1885.9252865261828,1907.2583839043962,1928.2204568394425,1948.7948766067746,1968.9807092749143,1988.7834341583364
627.5963992199356,1000.0000000000015,1023.420708564169,1048.2997424971015,1073.3485835405504,1098.55634322587,1123.9918997711727,1149.6334434879186,1175.4457042340134,1201.462004591727,1227.6910758753181,1254.0679128037873,1280.6211438831883,1307.3375315544608,1334.1677094085169,1361.0718041706984,1388.0043711844523,1414.9187531199168,1441.8253672035512,1468.48908604587,1495.5778089344506,1522.9748225638034,1549.0304679431054,1575.1489580599973,1600.9951998301126,1626.6296940354691,1651.9883071377042,1676.9835489661173,1701.7613075141896,1726.1222241689022,1750.218812566854,1773.748288289124,1796.9294262837097,1819.7356799335637,1842.113780913992,1864.1849495128065,1885.6644929798117,1907.0243855332153,1928.0049353264187,1948.590475923519,1968.7754353860312,1988.581892407134
706.0459491224277,1000.0000000000019,1023.4182166682658,1048.309037091092,1073.3577256059987,1098.5798941899484,1124.0169267783624,1149.6568161725816,1175.4646335651503,1201.4820167198657,1227.6558875679098,1254.0514450905548,1280.613624002083,1307.3390188811654,1334.1745997540236,1361.0790410514037,1388.0122242750438,1414.9246812446763,1441.8284446833673,1468.4856409374715,1495.7028596895693,1523.1550803126265,1549.1027098483519,1575.1417967524142,1600.9381155797182,1626.548422639213,1651.8774755917202,1676.8927723069842,1701.6510436672786,1725.9891387636912,1750.0806134590575,1773.5864161743405,1796.7551281382493,1819.5501289158199,1841.9059381510046,1863.9620511801736,1885.3694055945043,1906.7406959447837,1927.7265873967015,1948.3142006709413,1968.493615574135,1988.2998139450538
