% Model,EMSI_model_V1_C_rate_0.5_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:49"
% Dimension,1
% Nodes,397
% Expressions,41
% Description,Line graph
% Arc length (µm),genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode,genproj_an(liion.socloc_average)/w_anode
0,0.009810002432367173,0.009815332619768417,0.009820487819635166,0.00982465407127022,0.009836489735792446,0.009850839852819612,0.009853493332321307,0.009867642610165971,0.009877441512118787,0.009882672025355905,0.009890362077682107,0.009902093696176999,0.009917238380176543,0.009922668256447742,0.009941801009078365,0.00994747578821475,0.009953826261762742,0.009962824747585744,0.009970720409780726,0.009973579098034917,0.009987406493048152,0.009988019441947752,0.00999573515336358,0.010004335756441905,0.010007361581903877,0.010013788936804676,0.010014740555225048,0.010019623880727607,0.010013521065566104,0.010014934381812926,0.01001955974599155,0.010022384823099318,0.010024718020393114,0.01002067530304821,0.010031850344644959,0.01003342946815428,0.01002294738084734,0.010020541699547197,0.010026225293649991,0.01002038948858569,0.010024653028105877
78.44954990249195,0.009810830500965434,0.00981667434535811,0.009821704977023366,0.009826102451292899,0.009837762142594679,0.009852021729560503,0.009854616135988314,0.00986874379560102,0.00987849091654483,0.00988379355434386,0.009891448582000003,0.009903171122156438,0.009918266270688272,0.009923682080557852,0.009942803573249621,0.00994845515594956,0.009954714431845719,0.00996374651251339,0.009971663072571421,0.009974531500534775,0.009988337548701952,0.009988938304237145,0.009996636058178581,0.010005212292443786,0.010008240045949749,0.010014673171948554,0.010015590251789441,0.010020469354906221,0.010014763789920902,0.010015990117318541,0.010020581008746837,0.010023410033504158,0.01002569148956135,0.010021595880170377,0.01003274384216758,0.010034292508701926,0.010023788498781749,0.010021369416811074,0.01002705243040725,0.010021368480730432,0.010025585998763865
156.8990998049839,0.009811480427979859,0.009817839048182626,0.009822745526901534,0.009827374547812491,0.009838858920710424,0.009853028580067827,0.009855564362883214,0.009869670685546702,0.00987936662441095,0.009884742031916817,0.0098923621021501,0.00990407586799839,0.009919121959513211,0.009924523852495237,0.009943634058096396,0.009949262667528895,0.00995543124347565,0.009964497211961165,0.009972434918164722,0.00997531302189442,0.009989097865298948,0.009989686682369974,0.009997366620073604,0.010005918717057263,0.010008948446177925,0.010015387527333688,0.010016270250847859,0.01002114524714666,0.010015837315007822,0.010016877115876023,0.010021434550761509,0.01002426715650855,0.010026496444996584,0.010022348183509363,0.010033469092218198,0.010034987321489063,0.010024461980495128,0.010022029398100972,0.010027711999381954,0.010022181241465124,0.010026351537988414
235.34864970747586,0.009811952213410455,0.009818826728241963,0.009823609469269667,0.009828470360828996,0.009839780070139676,0.009853860404341578,0.009856338013005995,0.009870423280003014,0.009880068635717137,0.009885517458074766,0.009893102638132402,0.009904807933702851,0.009919805446651359,0.009925193572259901,0.009944292463618696,0.009949898322952764,0.009955976696652543,0.009965076845929068,0.009973035946560632,0.00997592366211386,0.009989687442839136,0.009990264576346235,0.009997926839048639,0.010006455030282331,0.010009486782588405,0.010015932002960064,0.01001678055240031,0.01002165155744893,0.010016741640826849,0.010017595377485358,0.010022120372035549,0.010024956192112498,0.010027132886698806,0.010022932213065168,0.01003402609479682,0.010035513906515678,0.010024967825987465,0.010022521643416896,0.010028204000574097,0.010022827770789755,0.01002694964577952
313.7981996099678,0.009812245857257209,0.00981963738553613,0.009824296804127771,0.00982938989034241,0.00984052559088243,0.009854517202381763,0.009856937086356663,0.00987100157896996,0.009880596950463408,0.00988611983281771,0.009893670189946895,0.009905367319269826,0.009920316732102717,0.009925691239851835,0.009944778789816509,0.009950362122221158,0.009956350791376387,0.009965485414417103,0.009973466157759145,0.009976363421193096,0.00999010628132252,0.009990671986165926,0.009998316715103692,0.010006821232118992,0.01000985505518119,0.010016306598827697,0.010017121156446786,0.010021988285813027,0.010017476767377992,0.010018144902146565,0.010022638472568965,0.010025477140315993,0.010027600814668023,0.010023347968837797,0.010034414849903436,0.010035872263781775,0.010025306035258771,0.010022846152758846,0.010028528433983691,0.010023308068704329,0.010027380322137193
392.2477495124598,0.00981236135952014,0.009820271020065122,0.009824807531475842,0.009830133136352743,0.009841095482938694,0.009854998974188378,0.009857361582935213,0.009871405582447536,0.009880951568649746,0.00988654915614565,0.009894064757593591,0.009905754024699308,0.009920655815867289,0.009926016855271046,0.009945093036689848,0.00995065406533408,0.009956553527647191,0.009965722917425262,0.009973725551760267,0.009976632299132118,0.009990354380749097,0.009990908911829044,0.009998536248238767,0.010007017322567244,0.010010053263956266,0.010016511314936584,0.010017292062987295,0.010022155432238953,0.010018042694661245,0.010018525689859642,0.01002298885236177,0.010025830001119047,0.010027900228904235,0.010023595450827231,0.010034635357538048,0.01003606239328736,0.010025476608309037,0.010023002926126815,0.010028685299610728,0.010023622135208852,0.010027643567061425
470.6972994149517,0.009812298720199234,0.009820727631828941,0.009825141651313879,0.009830700098859984,0.009841489746308463,0.009855305719761433,0.00985761150274165,0.009871635290435752,0.00988113249027616,0.00988680542805859,0.009894286341072481,0.009905968049991307,0.00992082269794507,0.009926170418517533,0.009945235204238713,0.009950774152291538,0.00995658490546495,0.009965789354953548,0.009973814128563994,0.009976730295930932,0.009990431741118874,0.009990975353335596,0.009998585438453856,0.010007043301627092,0.01001008140891365,0.010016546151286722,0.01001729327202183,0.010022152996726711,0.010018439422676616,0.01001873774062458,0.010023171511413943,0.010026014774521651,0.010028031129407438,0.010023674659033492,0.010034687617700664,0.010036084295032428,0.010025479545138268,0.010022991963520814,0.010028674597455212,0.010023769970303313,0.010027739380552212
549.1468493174436,0.009812075721260792,0.009821027266894572,0.009825320218794887,0.009831110486631406,0.009841729659150679,0.009855460227934392,0.009857709265285966,0.009871712858601158,0.009881162223295095,0.00988691190779378,0.009894357905595615,0.009906032396701682,0.009920840505106885,0.009926175149671314,0.00994522797671266,0.009950743957688336,0.00995646822153861,0.009965707335413854,0.009973754337405473,0.009976678778298387,0.00999035953125384,0.00999089282563181,0.009998485244451656,0.010006920884019147,0.010009960709297692,0.010016431404784783,0.010017145094998485,0.010022001726579131,0.010018686118754888,0.010018802018914653,0.010023211112800308,0.010026053391608808,0.010028013289008118,0.010023605594413376,0.010034591610221794,0.010035957719219068,0.010025333715265223,0.010022832553842889,0.010028515491406261,0.010023775649029919,0.01002768581444574
627.5963992199356,0.009811876639043891,0.009821364549302776,0.009825542020085867,0.00983155363734137,0.009842015992439657,0.009855665793464722,0.009857859714981123,0.009871839876525663,0.009881246075766693,0.009887076185472203,0.009894484948097948,0.009906152213954434,0.009920916161645444,0.009926236592736734,0.009945276126614102,0.009950760838093256,0.00995640867223584,0.009965681319442444,0.009973747231705346,0.00997667387169465,0.009990333246810566,0.009990856128133092,0.009998429802064862,0.010006844489612829,0.010009884364676789,0.01001635644665065,0.010017037741671108,0.010021890921767012,0.010018963570337524,0.010018906410068933,0.010023317891699416,0.010026141782864054,0.01002803062444009,0.01002357285783537,0.010034532046148636,0.010035866957134848,0.010025222543095316,0.010022705604110662,0.010028385769507483,0.010023843228556461,0.01002765374643104
706.0459491224277,0.009811925689803677,0.009821960324681673,0.009826030399377518,0.009832240459774958,0.009842568688038853,0.009856146537462966,0.009858287821749872,0.009872236164342107,0.009881606747791429,0.009887519695693636,0.00989488654397658,0.009906543501397146,0.009921268147509392,0.009926569360416972,0.009945593076834939,0.009951029939089442,0.009956621031073233,0.00996592074322588,0.00997399826774627,0.009976911769797415,0.009990550862312698,0.009991058255438471,0.009998613602261376,0.010007009188346315,0.010010043064820664,0.010016510359283139,0.010017159521588447,0.010022006089363798,0.010019439367393485,0.010019229624193571,0.010023690642420485,0.01002646353000461,0.010028258520922694,0.010023752656227443,0.010034683465286543,0.010035985066294457,0.010025319691856023,0.010022781586548865,0.010028453038789622,0.010024155010306658,0.010027800585765018
