% Model,EMSI_model_V1_C_rate_0.5_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:49"
% Dimension,1
% Nodes,397
% Expressions,41
% Description,Line graph
% Arc length (µm),genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode,genproj_ca(liion.socloc_average)/w_cathode
0,0.34821134673770726,0.3481472753720011,0.34809558586462613,0.3481119709931093,0.34806217600503664,0.34808753752494936,0.34810896272384295,0.34812403927218666,0.3481251713119473,0.34810066438342135,0.34813416447567636,0.3481739585816678,0.34818272709779424,0.3482259962766232,0.3482681834924096,0.3483221646280942,0.3483062259687202,0.3483685180905165,0.3483923027908295,0.348475651556516,0.34851132554223063,0.34855663473746723,0.34860036945630357,0.3486086956108654,0.3486573743330441,0.34869105909826315,0.3487533297740019,0.34881056773264923,0.348866855123298,0.3488718242180493,0.3489239013580786,0.34896868515546464,0.3490159459957796,0.34905436438140164,0.34909702185516694,0.3491322598368081,0.3491600788532144,0.349200651131413,0.3492322791575035,0.34926181143847423,0.3492876407809388
78.44954990249195,0.3482325158203793,0.3481709465488933,0.3481184327383067,0.3481302233751068,0.34808494531849554,0.3481096976153229,0.34813120147478116,0.34814620101146126,0.3481469678252105,0.3481227190402355,0.3481552120378622,0.34819538811341233,0.34820393128612775,0.34824688065941706,0.3482892374408113,0.3483429216103634,0.34832652917536455,0.3483891388032724,0.3484127398804759,0.3484961472723107,0.34853161336897837,0.3485767532831924,0.3486203137857029,0.3486283957687491,0.3486773917277791,0.3487108984346316,0.3487730438471151,0.348830301867551,0.3488856772511432,0.3488923995286445,0.34894444726405976,0.3489886349806691,0.3490365246077966,0.3490741016085945,0.34911675403923337,0.3491515833300592,0.34917943518408123,0.349219921286194,0.349251678214439,0.34928018243423914,0.34930757845363924
156.8990998049839,0.34824941759096867,0.3481903695382708,0.34813702487920717,0.3481443368029395,0.3481035181033198,0.34812767054647226,0.34814926745472957,0.34816419086099387,0.3481646167973087,0.34814059214759085,0.3481721824543311,0.3482127036173363,0.348221068319722,0.34826372979031095,0.3483062438327976,0.3483596524561856,0.34834284026264206,0.34840573544865705,0.34842912639732965,0.34851263825503176,0.348547921913116,0.34859289988730496,0.3486362886639135,0.3486441465238085,0.34869346889819464,0.3487267903956586,0.34878881664569616,0.34884610498027024,0.3489006002668362,0.3489090584668592,0.34896110764053095,0.34900469273408996,0.34905320523995903,0.3490899456261912,0.34913260128823653,0.3491670242559228,0.3491949049130605,0.349235314899413,0.3492672033746849,0.3492946917629518,0.3493236461741956
235.34864970747586,0.3482620520494757,0.3482055443401337,0.3481513622873275,0.3481543112766071,0.34811789435950957,0.3481414563183978,0.3481631606636877,0.34817800882078465,0.34817811822824224,0.3481542837054873,0.3481850757250827,0.34822590509344,0.34823413819857635,0.3482765436693043,0.3483192026683686,0.34837235716556125,0.34835515923055255,0.34841830802667,0.3484414623413906,0.34852512450467904,0.3485602511746436,0.34860507454980455,0.34864829409093545,0.3486559478760438,0.3487056058442906,0.34873873498134406,0.34880064816974526,0.348857977070807,0.3489116241703768,0.348921801032694,0.3489738824874918,0.34901685841572727,0.3490659878922671,0.3491018964341918,0.3491445636021764,0.34917858261439866,0.349206488040152,0.34924683197107,0.34927885463824127,0.3493053394246124,0.34933584394260814
313.7981996099678,0.34827041919589985,0.3482164709544816,0.34816144496266765,0.3481601467961099,0.34812807408706475,0.34815105493109916,0.3481728811016558,0.3481876548908335,0.3481874721180109,0.34816379371392503,0.348193891850117,0.3482349925417231,0.3482431409226912,0.3482853222963974,0.348328113947524,0.34838103573849005,0.34836348607909606,0.3484268565373114,0.34844974771265863,0.34853360602125305,0.34856860115356114,0.3486132772706913,0.3486563300667684,0.3486637998254548,0.348713802566067,0.34874673219168817,0.34880853841926235,0.34886591813916124,0.34891874896176517,0.3489306272261486,0.34898277180494247,0.34902513202558083,0.34907487256472075,0.3491099540325964,0.349152640981053,0.3491862584054873,0.3492141845653556,0.3492544725011649,0.34928663200510807,0.349312125419221,0.34934417175887683
392.2477495124598,0.3482745190302416,0.34822314938131493,0.34816727290522753,0.3481618433614477,0.34813405728598534,0.3481564663845767,0.348178428768634,0.34819312907114064,0.3481926784666149,0.3481691221729039,0.3481986308294345,0.3482399659621857,0.3482480764920667,0.3482900656715902,0.3483329776702641,0.34838568817497206,0.34836782080827267,0.3484313809805816,0.34845398251113413,0.34853808280475307,0.3485729718498686,0.34861750804996533,0.3486603965914126,0.3486677023720417,0.348718059063524,0.348750782026691,0.3488124873942472,0.34886992818533286,0.348921974641001,0.3489355370472227,0.348987775592883,0.3490295135636508,0.3490798592573201,0.34911411842140494,0.3491568334248663,0.3491900516291882,0.3492179944886717,0.3492582364896981,0.34929053547528516,0.34931504974677735,0.3493486296230016
470.6972994149517,0.34827435155250075,0.3482255796206335,0.3481688461150073,0.34815940097262055,0.34813584395627123,0.3481576906788303,0.3481798036646218,0.3481944313617057,0.34819373727405395,0.34817026908242393,0.34819929266303457,0.3482408253548277,0.3482489449067025,0.3482907737948828,0.3483337938365887,0.34838631447500745,0.34836816341808224,0.3484318813564802,0.34845416673681673,0.3485385548551796,0.348573363263566,0.3486177668876265,0.3486604936648682,0.34866765551580464,0.3487183753366612,0.34875088448635233,0.34881249509470014,0.34887000720932204,0.3489213012080846,0.3489365304959168,0.3489888938513132,0.3490300030299372,0.3490809479700646,0.34911438960061725,0.34915714093361655,0.34918996228550164,0.34921791781010014,0.3492581239366691,0.3492905650487727,0.3493141124072817,0.34934921753498244
549.1468493174436,0.34827112166520613,0.34822493144596406,0.34816751196297646,0.34815531053353166,0.3481347218403145,0.3481559808973483,0.3481782856518699,0.3481927653229492,0.34819185936958774,0.3481682800759557,0.3481972034961653,0.34823893408710355,0.34824709198280673,0.34828879249970657,0.34833173549769864,0.3483841067484971,0.34836582583442766,0.34842947914589156,0.34845156904795543,0.34853627359106465,0.34857095256725146,0.34861533468916756,0.34865786219277634,0.3486648885828944,0.34871613161173914,0.3487482300911008,0.3488098051623403,0.3488673214473732,0.34891798479113706,0.34893484138021635,0.34898736656101986,0.34902782012238753,0.3490792039341826,0.34911189795435366,0.3491546454988823,0.3491871631439285,0.3492151077381572,0.34925526212662944,0.34928785014577696,0.34931056245885017,0.3493470291295019
627.5963992199356,0.34827324083412947,0.3482291734609419,0.34817132235449555,0.3481584085912054,0.3481389243493661,0.34815959612717706,0.3481817787959581,0.34819614053710585,0.34819489300442025,0.3481715664479951,0.3482003618394408,0.34824207178506267,0.3482502175219658,0.3482918672501267,0.34833460756129137,0.3483868888316068,0.3483684257686283,0.3484320017086201,0.34845417538821616,0.3485390223605836,0.348573422636685,0.3486178917072022,0.3486602335889278,0.34866726186532265,0.3487186959185523,0.3487503893400749,0.34881194844173924,0.34886925868188795,0.3489200795897591,0.34893787510678015,0.3489899402525431,0.3490305417555609,0.3490818250182851,0.34911422378009493,0.34915673244804996,0.34918925038305937,0.34921694891466093,0.3492570307514515,0.34928971741238607,0.3493123764385239,0.3493492552562157
706.0459491224277,0.3482817449013282,0.34823934019131014,0.34818132558285686,0.3481690348118243,0.3481490958289891,0.34816954625265545,0.3481912259226033,0.34820547766166177,0.34820383265083926,0.3481811479587869,0.34820976552444194,0.3482509112930166,0.3482592164524463,0.348300867593985,0.348343286120192,0.3483955864478604,0.3483769916710015,0.34844046886050134,0.3484627779419635,0.348547368660409,0.3485817661448086,0.34862608561764474,0.3486686243521698,0.3486756734088931,0.34872681472837397,0.3487584409637456,0.34881995743155375,0.3488769085218253,0.348927924026009,0.3489464719117867,0.34899743719762033,0.3490390433977938,0.3490897467794836,0.3491220632664022,0.34916440632396073,0.3491969687422023,0.34922451857500114,0.34926452369409466,0.3492971042386273,0.3493204083162221,0.3493568081427479
